name,docks,bikeable_infrastructure,trips,lat,lon,trips_per_dock,nearest_dining_hall_m,nearest_amenity_m,nearest_park_m,count_amenities_275m,avg_dist_3_amenities_m,park_area_within_275m,park_area_within_550m
barton_springs_pool,11,2.0,3613,30.2645,-97.771359,328.45454545454544,3903.2492005217077,48.26819194418196,0.0,4,142.8714523701296,234168.30868715726,743414.1432924796
barton_springs_bouldin_at_palmer_auditorium,15,3.0,5037,30.25966,-97.753445,335.8,3047.3835877146603,201.12366467634308,4.855305320165165,3,219.20708053595013,114251.69965427493,332825.02949430957
barton_springs_kinney,11,3.0,2774,30.261928,-97.761131,252.1818181818182,3307.9969505900517,99.76573751421584,271.38915354077795,11,113.98483407087494,194.525127809501,216223.52158703117
cesar_chavez_congress,11,3.0,3695,30.263344,-97.745094,335.90909090909093,2325.9156665688874,90.33029986958014,0.0,8,94.44683943482583,21829.559363945424,105804.9077199874
dean_keeton_park_place,15,3.0,4333,30.28931,-97.733037,288.8666666666667,661.1404201267859,103.69653474356258,17.800355865538982,5,142.26492281602188,30366.15126224547,38498.21735663357
dean_keeton_robert_dedman_dr,11,3.0,3476,30.28785,-97.728541,316.0,959.8451320773866,183.67845225609312,274.2696153768364,4,215.14706814037143,0.3789157602378248,38498.21735663357
dean_keeton_speedway,23,3.0,33342,30.28951,-97.736535,1449.6521739130435,330.9489922717962,168.95117564802473,327.6992699993195,1,283.99905897650586,0.0,28419.29763058712
dean_keeton_whitis,19,3.0,23152,30.289822,-97.740468,1218.5263157894738,101.21577131480835,188.48389709160145,458.3516920574011,5,204.3734961554971,0.0,8517.836663472077
e_10th_red_river,15,2.0,2239,30.270155,-97.735364,149.26666666666668,1435.375000348106,59.76108066734926,8.586582389103596,4,102.3054280103505,11630.955274196807,54789.38133149058
e_11th_salina,11,2.0,1332,30.266422,-97.721623,121.0909090909091,2351.2231564200197,85.83062981048752,124.59275847322057,3,150.94598392047013,2615.1902020661487,64144.91868597175
e_11th_san_jacinto,11,3.0,1106,30.271838,-97.738019,100.54545454545456,1246.7737687552353,35.68660294173244,166.67502122725932,4,126.78813304905539,16532.49890901341,53119.15656872388
e_11th_san_marcos,11,2.0,2631,30.269669,-97.730623,239.1818181818182,1597.5051565370245,96.41335510199788,145.95013928580414,8,109.45019476720577,4550.508309909454,18944.579630028347
e_11th_waller,11,3.0,931,30.26899897139031,-97.72842914529063,84.63636363636364,1753.1496753946722,134.06810344027076,246.2463208699402,3,198.5996800465297,911.1499288720418,33137.2552178422
e_12th_san_jacinto_at_state_cap_visitors_garage,11,2.0,1093,30.273499,-97.738097,99.36363636363636,1063.8469042212748,51.01369029611407,116.56863998518277,2,169.7597603549441,31006.633285807224,52878.811545099925
e_13th_trinity_at_waterloo_greenway,11,3.0,1695,30.274063,-97.736657,154.0909090909091,994.1389629856683,172.20349005334165,3.7141097578555886,2,281.6450447562247,43204.723288696536,52673.732976750136
e_21st_speedway_at_pcl,17,3.0,43851,30.282894,-97.737349,2579.470588235294,52.16455988508326,80.8703222694117,822.3839451210862,12,115.08054601232317,0.0,0.0
e_23rd_san_jacinto_at_dkr_stadium,23,3.0,10557,30.2855,-97.733492,459.0,422.54067576327316,73.04057760582802,439.1279825434463,5,128.52432326947672,0.0,12069.586083886126
e_2nd_congress,15,3.0,6400,30.264095,-97.743535,426.6666666666667,2199.1394906687588,19.53325559153915,155.63440261627483,11,79.6944541027963,15770.113568336747,72361.6862916309
e_2nd_pedernales,11,2.0,1783,30.255424,-97.716667,162.0909090909091,3626.1441279254764,130.26851638739655,337.072463651946,3,192.17560104453136,0.0,51182.75462541037
e_4th_chicon,19,2.0,2693,30.259718,-97.723198,141.73684210526315,2900.7351209588073,46.123065757110574,8.67502348568039,10,50.216367561993,19096.83232117321,25252.68189236524
e_5th_broadway,15,3.0,3593,30.256297,-97.710115,239.53333333333333,3923.543065137528,144.06988343403395,459.2506189833703,3,160.488402108433,0.0,1881.8442156618785
e_6th_chalmers,11,2.0,2411,30.262684,-97.724284,219.1818181818182,2559.9313872323755,117.57982719376903,343.2484806586985,6,158.99036404771925,0.0,23561.62401951549
e_6th_chicon,11,2.0,1888,30.26125588077636,-97.72132623864783,171.63636363636363,2839.1020439656477,50.979045670935484,233.27390808454655,3,155.8564677042569,5372.320549489454,24271.12714097663
e_6th_medina,11,4.0,6294,30.264582,-97.73165,572.1818181818181,2107.52333526404,52.60900320683158,413.3991927517028,10,85.13590093883364,0.0,10889.479196082702
e_6th_pedernales,11,2.0,3797,30.258999,-97.714794,345.1818181818182,3405.4744056696254,158.71729396756754,355.29305190094726,1,260.3660011447163,0.0,45775.269515313965
e_8th_lavaca,7,2.0,1509,30.270522,-97.744618,215.57142857142856,1576.9962097254645,76.97399048146696,175.41017016250996,3,173.6880787798452,6629.209945258271,15347.134506828963
e_8th_red_river,11,2.0,2056,30.26855,-97.736492,186.9090909090909,1607.3412330868475,72.01417008808527,90.55880721344296,7,109.85756407299871,5101.335443123479,35106.00143631192
electric_drive_at_pfluger_ped_bridge,19,3.0,7777,30.267064,-97.75482,409.3157894736842,2475.7758684219975,47.800709692657854,1.322700979078397,8,115.94707755409249,42624.81219553599,280364.91357571475
guadalupe_west_mall_at_university_co-op,15,3.0,18674,30.285664,-97.741792,1244.9333333333334,560.269547769122,107.06772031188588,849.8285094476183,14,127.72259417283102,0.0,0.0
hollow_creek_barton_hills,11,2.0,3047,30.261617,-97.772596,277.0,4178.483417426733,59.86391848229805,50.61195895062356,7,96.16254343604864,82733.12955177741,405916.4422566361
lake_austin_blvd_deep_eddy,11,3.0,4057,30.278107,-97.772695,368.8181818181818,3448.3631181898645,183.00359956570813,53.38413471866708,2,286.6316473613305,35318.49343678477,131423.93783202168
lakeshore_lady_bird_ln,11,3.0,5218,30.2447276628392,-97.72285895003382,474.3636363636364,4462.115419621767,223.99453502112505,14.156626771414114,2,264.13206324414335,27421.826226097022,192658.4452441778
