name,lat,lon,type
,30.141048,-97.8275752,amenity_post_office
Walgreens,30.1741875,-97.8228982,amenity_pharmacy
Cornerstone Hospital Austin,30.3118919,-97.7433271,amenity_hospital
North Austin Optimist Baseball Fields,30.3458271,-97.7207576,leisure_sports_centre
Austin Regional Clinic,30.4463725,-97.8057297,amenity_clinic
Heart Hospital of Austin,30.30591,-97.7410796,amenity_hospital
Texan Surgery Center,30.3536628,-97.7494158,amenity_clinic
Balcones Post Office,30.423633,-97.7572539,amenity_post_office
Central Park Station Post Office,30.3036712,-97.7437788,amenity_post_office
Chimney Corners Post Office,30.3535782,-97.7550206,amenity_post_office
East Austin Post Office,30.2616612,-97.7215743,amenity_post_office
Mockingbird Post Office,30.1992315,-97.8089357,amenity_post_office
Northcross Post Office,30.3548191,-97.7366119,amenity_post_office
Northeast Austin Post Office,30.3342011,-97.6995852,amenity_post_office
West Austin Post Office,30.297381,-97.7668596,amenity_post_office
Archer M Huntington Art Gallery,30.2860412,-97.7330609,amenity_arts_centre
Austin Fire Station Number 20,30.2066451,-97.8055469,amenity_fire_station
Austin Fire Station Number 16,30.340278,-97.7230003,amenity_fire_station
Austin Fire Station Number 10,30.2986,-97.7092,amenity_fire_station
Austin Fire Station Number 9,30.3064663,-97.7294719,amenity_fire_station
Austin Fire Station Number 38,30.4464326,-97.8018727,amenity_fire_station
Austin Fire Station Number 33,30.3991991,-97.7671709,amenity_fire_station
Austin Fire Station Number 27,30.227778,-97.8535259,amenity_fire_station
Texas State Law Library,30.2762364,-97.741983,amenity_library
Clinger Gymnasium,30.2548973,-97.7499429,leisure_sports_centre
Walgreens,30.4245673,-97.7147663,amenity_pharmacy
Manchaca Volunteer Fire Department,30.1409927,-97.8380746,amenity_fire_station
CircleC Fire Station,30.1833866,-97.8978426,amenity_fire_station
H-E-B Pharmacy,30.3344923,-97.7410624,amenity_pharmacy
,30.3223352,-97.7402582,amenity_fire_station
CVS Pharmacy,30.3253668,-97.7403883,amenity_pharmacy
Sunstone Yoga,30.3984426,-97.7492355,leisure_sports_centre
Mail Depot,30.4002769,-97.7480171,amenity_post_office
H-E-B Pharmacy,30.438001,-97.6121002,amenity_pharmacy
Pflugerville City Hall,30.440994,-97.619908,amenity_townhall
CVS Pharmacy,30.2475017,-97.7700166,amenity_pharmacy
United States Postal Service,30.285291,-97.740764,amenity_post_office
Fitness HQ,30.3926772,-97.745541,leisure_fitness_centre
,30.393159,-97.7442148,amenity_pharmacy
Fitness 360,30.3148586,-97.7352613,leisure_fitness_centre
Pak Mail CLOSED,30.4001619,-97.7041446,amenity_post_office
CE-Bar Volunteer Fire Dept.,30.3238607,-97.8736721,amenity_fire_station
Randalls Pharmacy,30.4020038,-97.7477385,amenity_pharmacy
Peoples Pharmacy,30.3089652,-97.741148,amenity_pharmacy
First Leap,30.3897041,-97.7398979,amenity_pharmacy
United States Post Office,30.2720214,-97.7999092,amenity_post_office
Studio Satya,30.3510432,-97.7192825,leisure_fitness_centre
The UPS Store,30.3928192,-97.7260586,amenity_post_office
Austin Peace Studio,30.38578,-97.7018232,leisure_sports_centre
Planet Fitness,30.1713357,-97.8235967,leisure_fitness_centre
H-E-B Pharmacy,30.2594408,-97.7118318,amenity_pharmacy
H-E-B Pharmacy,30.1884873,-97.7692368,amenity_pharmacy
H-E-B Pharmacy,30.3001369,-97.7194369,amenity_pharmacy
H-E-B Pharmacy,30.4049827,-97.6720293,amenity_pharmacy
H-E-B Pharmacy,30.4427111,-97.6646942,amenity_pharmacy
H-E-B Pharmacy,30.2026139,-97.8772018,amenity_pharmacy
H-E-B Pharmacy,30.1753537,-97.8246195,amenity_pharmacy
H-E-B Pharmacy,30.3122716,-97.66505,amenity_pharmacy
H-E-B,30.364409,-97.6981724,amenity_pharmacy
H-E-B Pharmacy,30.3986607,-97.7479711,amenity_pharmacy
H-E-B Pharmacy,30.4418519,-97.7422374,amenity_pharmacy
H-E-B Pharmacy,30.2160177,-97.831538,amenity_pharmacy
H-E-B Pharmacy,30.403899,-97.8519975,amenity_pharmacy
H-E-B Pharmacy,30.2914032,-97.8250751,amenity_pharmacy
West Lake Fire Station 901,30.2927021,-97.7974011,amenity_fire_station
H-E-B Pharmacy,30.453459,-97.8257747,amenity_pharmacy
Saint David's Emergency Center,30.470501,-97.5949526,amenity_clinic
,30.3577585,-97.7868293,amenity_fire_station
Garfield Library,30.1878834,-97.5605691,amenity_library
Walgreens,30.2426252,-97.7280805,amenity_pharmacy
Travis County Constable Precinct Five,30.2729128,-97.7444498,amenity_police
Ernie Reyes World Martial Arts,30.3814436,-97.9449602,leisure_sports_centre
Senior Citizens Center,30.2973142,-97.7485381,amenity_community_centre
Koko Fit Club,30.2004733,-97.870064,leisure_fitness_centre
People's Pharmacy,30.2380402,-97.789089,amenity_pharmacy
ProMed,30.2379018,-97.7892431,amenity_clinic
PostalAnnex,30.2326605,-97.8648048,amenity_post_office
Costco Pharmacy,30.2193032,-97.8430005,amenity_pharmacy
EcoBox,30.2288883,-97.8227421,amenity_post_office
H-E-B Pharmacy,30.4177189,-97.7027376,amenity_pharmacy
H-E-B Pharmacy,30.352091,-97.7551726,amenity_pharmacy
H-E-B Pharmacy,30.2366613,-97.7227631,amenity_pharmacy
H-E-B Pharmacy,30.3009965,-97.6980571,amenity_pharmacy
Westlake Community Performing Arts Center (PAC),30.2764768,-97.8157521,amenity_arts_centre
Randalls Pharmacy,30.3354395,-97.7582669,amenity_pharmacy
Randalls Pharmacy,30.1845604,-97.8475973,amenity_pharmacy
Randalls Pharmacy,30.371798,-97.7581427,amenity_pharmacy
Randalls Pharmacy,30.3892248,-97.8839252,amenity_pharmacy
Randalls Pharmacy,30.2294299,-97.7904375,amenity_pharmacy
Hyde Park Gym,30.3071141,-97.7352277,leisure_sports_centre
YMCA,30.3651608,-97.7000587,leisure_sports_centre
Wanderlust Yoga,30.26587,-97.741632,leisure_fitness_centre
Gold's Gym,30.3225893,-97.7093778,leisure_fitness_centre
Black Swan Yoga,30.260472,-97.734817,leisure_fitness_centre
Austin Regional Clinic,30.2596339,-97.7102356,amenity_clinic
Pure Barre,30.2627262,-97.7282776,leisure_fitness_centre
NuCara Pharmacy,30.33656,-97.738982,amenity_pharmacy
Orangetheory Fitness,30.2662057,-97.7478446,leisure_fitness_centre
United States Post Office,30.2703774,-97.7417053,amenity_post_office
LA Fitness,30.354681,-97.727381,leisure_fitness_centre
Lago Vista Public Library,30.4529066,-97.9880926,amenity_library
Pak Mail Austin,30.296682,-97.767931,amenity_post_office
H-E-B Pharmacy,30.344293,-97.9681941,amenity_pharmacy
Jääkarhu Crossfit,30.2181837,-97.7638176,leisure_sports_centre
Town North PO Annex,30.3610682,-97.7151799,amenity_post_office
Nau's Enfield Drug,30.2800157,-97.7590733,amenity_pharmacy
The UPS Store,30.2825114,-97.7440516,amenity_post_office
Wellness Studio,30.4004191,-97.7247156,leisure_sports_centre
SoulCycle,30.4050334,-97.7216383,leisure_fitness_centre
Austin Regional Clinic Far West,30.351289,-97.750439,amenity_clinic
LA Fitness,30.235084,-97.7918544,leisure_fitness_centre
Crossfit Renew,30.3528505,-97.7158437,leisure_fitness_centre
Austin Family Allergy & Asthma,30.3981771,-97.7299889,amenity_clinic
Lantana Free Tiny Library,30.2481061,-97.874167,amenity_library
YMCA,30.2688577,-97.7570778,leisure_sports_centre
Montopolis Recreation Center,30.2323049,-97.699897,amenity_community_centre
Sierra Ridge Community Center,30.2183617,-97.7689027,amenity_community_centre
Goin' Postal,30.2132651,-97.9656638,amenity_post_office
CVS Pharmacy,30.3105928,-97.9640497,amenity_pharmacy
H-E-B Pharmacy,30.304895,-97.9328222,amenity_pharmacy
The Austin Diagnostic Clinic,30.3895703,-97.8860396,amenity_clinic
Third Coast Fitness,30.372917,-97.7555245,leisure_fitness_centre
Randalls Pharmacy,30.2751574,-97.7988701,amenity_pharmacy
Northwest Hills Surgical Hospital,30.3502455,-97.7517664,amenity_hospital
Austin Bouldering Project,30.2632677,-97.6962958,leisure_sports_centre
Yoga Yoga,30.2304202,-97.7982812,leisure_fitness_centre
Texas Children's Urgent Care,30.2310196,-97.7985149,amenity_clinic
Black Swan Yoga,30.2313218,-97.8014382,leisure_fitness_centre
South Austin Gym,30.2157027,-97.7999161,leisure_fitness_centre
CareNow Urgent Care,30.2595659,-97.758408,amenity_clinic
Stride Fitness,30.2742169,-97.764273,leisure_fitness_centre
Texas Barbell Club,30.3231633,-97.6949949,leisure_sports_centre
,30.3831862,-97.8843569,leisure_fitness_centre
Ro Fitness,30.2606437,-97.741843,leisure_fitness_centre
VMC Pharmacy,30.2321877,-97.7910569,amenity_pharmacy
Victory Medical,30.2322841,-97.7909766,amenity_clinic
Yoga Yoga,30.2623957,-97.8149932,leisure_fitness_centre
KIND Clinic,30.3082967,-97.742991,amenity_clinic
CVS Pharmacy,30.2036615,-97.8064855,amenity_pharmacy
CareNow Urgent Care,30.2324111,-97.8250899,amenity_clinic
Orangetheory Fitness,30.3472045,-97.96615,leisure_fitness_centre
CrossFit REP,30.384406,-97.712638,leisure_fitness_centre
CorePower Yoga,30.3152599,-97.7338229,leisure_fitness_centre
Walgreens,30.311108,-97.732527,amenity_pharmacy
,30.2481009,-97.7338799,leisure_fitness_centre
Gracie Humaita,30.2269364,-97.7846969,leisure_fitness_centre
Walgreens,30.1677671,-97.7892801,amenity_pharmacy
West Lake Mail,30.280604,-97.8068638,amenity_post_office
Walgreens,30.312584,-97.707217,amenity_pharmacy
CVS Pharmacy,30.3591951,-97.7358348,amenity_pharmacy
,30.1924346,-97.777994,amenity_pharmacy
Walgreens,30.3925779,-97.7071811,amenity_pharmacy
Fitness Connection,30.4120064,-97.6715004,leisure_fitness_centre
Austin Ninjas,30.441576,-97.7453059,leisure_fitness_centre
The UPS Store,30.4171908,-97.7040192,amenity_post_office
H-E-B Pharmacy,30.1691838,-97.7871308,amenity_pharmacy
Westlake HS Shotput practice circle,30.2746443,-97.8115399,leisure_pitch
,30.3439754,-97.7192532,leisure_pitch
,30.344052,-97.7192024,leisure_pitch
Planet Fitness,30.42192,-97.7005004,leisure_fitness_centre
Fresenius Kidney Care,30.4118505,-97.7036316,amenity_clinic
Texas Institute for Robotic Surgery,30.41175,-97.7036316,amenity_clinic
Women's Health Texas,30.4099318,-97.7045432,amenity_clinic
Austin Epilepsy Care Center,30.4088771,-97.7032327,amenity_clinic
Cardiovascular Specialists Of Texas,30.4090344,-97.7031943,amenity_clinic
Women's Imaging Center,30.4094568,-97.7031078,amenity_clinic
DEXA Austin-Body Composition Testing,30.4100945,-97.702815,amenity_clinic
The UPS Store,30.4082124,-97.7470981,amenity_post_office
Parkway Primary Care,30.4792607,-97.6798079,amenity_clinic
Westlake Highschool Library,30.2760098,-97.8140618,amenity_library
Walgreens,30.4392393,-97.6961157,amenity_pharmacy
,30.2311186,-97.8449265,leisure_sports_centre
,30.2311015,-97.8448643,leisure_sports_centre
,30.2310854,-97.844799,leisure_sports_centre
Morris Hall,30.2903267,-97.8238098,amenity_community_centre
CVS Pharmacy,30.382813,-97.6867294,amenity_pharmacy
Walgreens,30.4146649,-97.69037,amenity_pharmacy
Walgreens,30.3617288,-97.6970067,amenity_pharmacy
Walgreens,30.4451915,-97.6475295,amenity_pharmacy
Walmart Pharmacy,30.4141983,-97.6760158,amenity_pharmacy
Central Texas Hearing Center,30.3621861,-97.7415321,amenity_clinic
Walgreens,30.4011861,-97.6572898,amenity_pharmacy
Pak Mail,30.360319,-97.7373704,amenity_post_office
