name,lat,lon
Perry-Castañeda Library, 30.282792120050452, -97.73821110892538
Jester, 30.282832605857593, -97.73677481370083
McCombs School of Business, 30.28423134042181, -97.73744421114503
Gregory Gym,30.28435131985949, -97.73673932519345
UT Tower, 30.28627333976745, -97.73941447149339
Robert A. Welch Hall (WEL),30.2867894262423, -97.7375765900781
Texas Union, 30.28669016515954, -97.74108112016329
FAC,30.286388985386203, -97.74005128477732
Gates-Dell Complex,30.28630260479415, -97.73676443614367
RLP, 30.284970938852723, -97.73568604784641
NHB, 30.28775119834521, -97.73824155549386
PMA, 30.289114143943173, -97.73642436052647
EER, 30.28818744788408, -97.73544055566228
CPE, 30.290257794995888, -97.7362366881865
DKR, 30.28375122427696, -97.73311333478082
Caven Lacrosse and Sports Center at Clark Field, 30.281202916453395, -97.73408666804329
Moody Center, 30.281124667276096, -97.73108637227274
Jesse H. Jones Communication Center - Building B, 30.289247747955862, -97.74066040184904
