GEOID,NAME,NAME_clean,median_age_2024,median_household_income_final_2024_dollars,income_source,median_household_income_2024,median_household_income_2019_in_2024_dollars,B14007_017E_2024,B14007_018E_2024,GISJOIN,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,NAME_from_shape,NAME_clean_shape
484530001011,Block Group 1; Census Tract 1.01; Travis County; Texas,"Block Group 1, Census Tract 1.01, Travis County, Texas",56.0,135831.65478355766,ACS 2019 adjusted to 2024 dollars,,135831.65478355766,0.0,17.0,G48045300001011,48,453,000101,1,1500000US484530001011,Block Group 1,G5030,S,947233.0,0.0,+30.3232600,-097.7477495,5665.98104372,947232.483916,"Block Group 1, Census Tract 1.01, Travis County, Texas","Block Group 1, Census Tract 1.01, Travis County, Texas"
484530001021,Block Group 1; Census Tract 1.02; Travis County; Texas,"Block Group 1, Census Tract 1.02, Travis County, Texas",55.6,162045.0,ACS 2024,162045.0,224744.37650054565,12.0,4.0,G48045300001021,48,453,000102,1,1500000US484530001021,Block Group 1,G5030,S,2916297.0,138159.0,+30.3342867,-097.7695659,10381.1882524,3054458.16868,"Block Group 1, Census Tract 1.02, Travis County, Texas","Block Group 1, Census Tract 1.02, Travis County, Texas"
484530010001,Block Group 1; Census Tract 10; Travis County; Texas,"Block Group 1, Census Tract 10, Travis County, Texas",40.1,124453.0,ACS 2024,124453.0,72511.5245543834,0.0,0.0,G48045300010001,48,453,001000,1,1500000US484530010001,Block Group 1,G5030,S,304719.0,0.0,+30.2579877,-097.7339922,2606.91571064,304717.937282,"Block Group 1, Census Tract 10, Travis County, Texas","Block Group 1, Census Tract 10, Travis County, Texas"
484530011011,Block Group 1; Census Tract 11.01; Travis County; Texas,"Block Group 1, Census Tract 11.01, Travis County, Texas",45.2,,,,,60.0,0.0,G48045300011011,48,453,001101,1,1500000US484530011011,Block Group 1,G5030,S,523682.0,0.0,+30.2696516,-097.7375527,3024.21483897,523681.6867,"Block Group 1, Census Tract 11.01, Travis County, Texas","Block Group 1, Census Tract 11.01, Travis County, Texas"
484530011021,Block Group 1; Census Tract 11.02; Travis County; Texas,"Block Group 1, Census Tract 11.02, Travis County, Texas",42.2,195117.0,ACS 2024,195117.0,,0.0,125.0,G48045300011021,48,453,001102,1,1500000US484530011021,Block Group 1,G5030,S,155127.0,0.0,+30.2684664,-097.7492191,1734.58031109,155126.466165,"Block Group 1, Census Tract 11.02, Travis County, Texas","Block Group 1, Census Tract 11.02, Travis County, Texas"
484530011031,Block Group 1; Census Tract 11.03; Travis County; Texas,"Block Group 1, Census Tract 11.03, Travis County, Texas",46.2,166721.0,ACS 2024,166721.0,,0.0,0.0,G48045300011031,48,453,001103,1,1500000US484530011031,Block Group 1,G5030,S,417114.0,149386.0,+30.2590809,-097.7399200,3776.12413801,566500.811598,"Block Group 1, Census Tract 11.03, Travis County, Texas","Block Group 1, Census Tract 11.03, Travis County, Texas"
484530012001,Block Group 1; Census Tract 12; Travis County; Texas,"Block Group 1, Census Tract 12, Travis County, Texas",44.2,46090.71371407784,ACS 2019 adjusted to 2024 dollars,,46090.71371407784,0.0,81.0,G48045300012001,48,453,001200,1,1500000US484530012001,Block Group 1,G5030,S,278895.0,0.0,+30.2745143,-097.7577556,2463.63523821,278893.519977,"Block Group 1, Census Tract 12, Travis County, Texas","Block Group 1, Census Tract 12, Travis County, Texas"
484530013041,Block Group 1; Census Tract 13.04; Travis County; Texas,"Block Group 1, Census Tract 13.04, Travis County, Texas",40.2,94884.0,ACS 2024,94884.0,102166.68534012367,0.0,18.0,G48045300013041,48,453,001304,1,1500000US484530013041,Block Group 1,G5030,S,648074.0,0.0,+30.2432154,-097.7739904,3546.71535419,648075.542664,"Block Group 1, Census Tract 13.04, Travis County, Texas","Block Group 1, Census Tract 13.04, Travis County, Texas"
484530013071,Block Group 1; Census Tract 13.07; Travis County; Texas,"Block Group 1, Census Tract 13.07, Travis County, Texas",29.3,92964.0,ACS 2024,92964.0,56172.90396507821,183.0,0.0,G48045300013071,48,453,001307,1,1500000US484530013071,Block Group 1,G5030,S,621319.0,0.0,+30.2310665,-097.7712704,3572.25677315,621317.681063,"Block Group 1, Census Tract 13.07, Travis County, Texas","Block Group 1, Census Tract 13.07, Travis County, Texas"
484530013081,Block Group 1; Census Tract 13.08; Travis County; Texas,"Block Group 1, Census Tract 13.08, Travis County, Texas",30.0,105431.0,ACS 2024,105431.0,78987.58639505274,64.0,140.0,G48045300013081,48,453,001308,1,1500000US484530013081,Block Group 1,G5030,S,467760.0,0.0,+30.2276787,-097.7650543,2842.38836214,467759.013167,"Block Group 1, Census Tract 13.08, Travis County, Texas","Block Group 1, Census Tract 13.08, Travis County, Texas"
