id,active_date,name,district,total_checkouts,total_docks,trips_per_dock,ebs_station,transit_nearby,jobs_nearby,housing_nearby,low_income_access_score,amenities_nearby,park_area_nearby,bike_infra_score,retail_nearby,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_dist_3_nearest_m,is_ut,lat,lon
36,2024-07-24,barton_springs_pool,8,2541,11,231.0,0,0,34,0,1.0,2,235271,2.0,3,376.4060984434152,3,3,406.61514313375545,0,30.26452,-97.7712
39,2024-11-14,barton_springs_azie_morton,9,2389,15,159.26666666666668,1,0,40,0,1.0,6,116251,2.0,1,379.7365528901598,2,4,441.64972575420694,0,30.261881964956064,-97.76897665654796
37,2024-07-24,barton_springs_bouldin_palmer_auditorium,9,3425,15,228.33333333333331,0,4,3647,993,1.0,2,112716,3.0,5,415.5224887997132,1,8,563.3273780796779,0,30.25966,-97.753445
38,2024-11-14,barton_springs_kinney,9,1982,11,180.1818181818182,0,3,819,0,1.0,8,697,3.0,15,595.6669140130803,0,5,792.02087501587,0,30.262,-97.76118
41,2024-11-14,cesar_chavez_congress,9,2711,11,246.45454545454547,0,3,6387,0,1.0,7,6908,3.0,34,196.47681851070504,3,14,292.26894755437365,0,30.26332,-97.74508
42,2024-07-24,dean_keeton_park_place,9,2997,15,199.8,0,6,23359,0,2.0,5,0,3.0,0,436.51553466418187,2,5,484.09198983303605,1,30.28931,-97.733037
87,2024-11-14,dean_keeton_robert_dedman_dr,1,2100,11,190.9090909090909,0,5,249,0,1.0,3,0,3.0,5,534.7140377834024,0,3,706.3753919582377,1,30.28785,-97.728541
43,2024-07-24,dean_keeton_speedway,9,21964,23,1156.0,0,9,7,0,2.0,1,0,3.0,2,386.73506881797624,2,10,486.3339176884756,1,30.28953,-97.73695
44,2024-07-24,dean_keeton_whitis,9,15820,19,832.6315789473684,0,5,552,0,2.0,3,0,3.0,16,301.565429970349,2,12,414.4160091903409,1,30.2898,-97.74041
1,2024-07-24,e_10th_red_river,9,1435,15,95.66666666666669,0,2,2934,309,1.0,3,0,2.0,14,231.82333484280636,4,13,323.92315294507074,0,30.27024,-97.73578
