id,name,district,total_docks,trips_per_dock,ebs_station,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby,housing_nearby,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,is_ut,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing,lat,lon
15,w_28th_rio_grande,9,7,3299.714285714286,0,2,258.81,269.18,651.0,6877,0.09466337065580922,2.0,5,177.85,0,3408943.18,3.0,9,226.25,1,274.93,0,1207.39,366.83,1.0,5.0,616.24,1,604.42,491.45,588.0,588.0,588.0,604.42,2,6877,30.29333,-97.74412
10,w_22_5_rio_grande,9,5,2588.4,0,1,204.99,304.97,779.0,5718,0.13623644630989856,2.0,19,116.56,0,3408148.49,3.0,9,50.86,5,56.17,0,631.14,207.0,4.0,10.0,306.78,1,817.09,544.37,980.0,0.0,0.0,817.09,1,5718,30.2862,-97.74516
8,e_21st_speedway_pcl,9,17,2579.470588235294,0,1,243.2,312.94,31.0,2653,0.011684885035808518,2.0,5,123.92,0,3407942.81,3.0,7,48.83,2,151.27,1,370.12,236.46,1.0,9.0,435.77,1,75.13,78.34,1200.0,5103.0,5103.0,75.13,1,2653,30.283,-97.7375
14,w_26th_nueces,9,13,2532.3076923076924,0,5,126.31,151.19,489.0,6414,0.07623947614593078,2.0,10,76.94,0,3408677.27,3.0,13,122.59,6,135.4,0,940.9,301.57,2.0,9.0,432.49,1,350.15,159.44,588.0,2172.0,2172.0,350.15,5,6414,30.29068,-97.74292
12,w_23rd_san_gabriel,9,11,2505.454545454545,0,1,200.26,280.85,622.0,6036,0.10304837640821736,2.0,11,164.62,0,3408230.0,3.0,4,82.91,2,173.47,1,736.92,297.13,2.0,7.0,439.22,1,978.73,778.88,588.0,0.0,0.0,978.73,1,6036,30.2874,-97.7478
7,w_21st_guadalupe,9,11,1966.0,0,5,73.82,97.12,1643.0,4028,0.40789473684210525,2.0,15,65.04,0,3407962.86,3.0,22,59.39,13,69.84,1,435.07,221.94,3.0,11.0,319.13,1,586.21,86.8,980.0,980.0,980.0,586.21,5,4028,30.28395,-97.74198
43,dean_keeton_speedway,9,23,1449.6521739130435,0,9,20.5,101.19,7.0,3870,0.0018087855297157622,2.0,1,338.46,0,3408663.13,3.0,2,295.57,1,321.84,0,742.23,386.74,2.0,10.0,486.33,1,339.59,292.94,270.0,1584.0,1584.0,339.59,9,3870,30.28953,-97.73695
9,w_21st_university,9,19,1332.3157894736842,0,3,8.41,115.68,510.0,3587,0.14218009478672985,2.0,5,180.78,0,3407963.8,3.0,8,205.85,4,211.25,1,348.51,236.46,3.0,10.0,295.42,1,308.46,208.23,980.0,4058.0,4058.0,308.46,3,3587,30.28354,-97.73953
55,guadalupe_west_mall_university_co_op,9,15,1244.9333333333334,0,5,22.39,56.91,707.0,4289,0.16484028911168105,2.0,12,148.07,0,3408152.74,3.0,20,31.8,6,69.53,1,561.54,221.94,3.0,11.0,325.06,1,649.54,282.36,980.0,1664.0,1664.0,649.54,5,4289,30.285664,-97.741792
44,dean_keeton_whitis,9,19,1218.5263157894738,0,5,97.1,111.5,552.0,5951,0.09275751974458074,2.0,3,243.51,0,3408628.19,3.0,16,135.18,9,135.18,0,864.02,301.57,2.0,12.0,414.42,1,115.49,36.84,900.0,2172.0,2172.0,115.49,5,5951,30.2898,-97.74041
11,w_22nd_pearl,9,23,1062.1304347826087,0,2,4.25,246.92,755.0,6036,0.12508283631544068,2.0,9,189.9,0,3408022.03,3.0,5,208.31,3,236.07,0,670.76,207.0,2.0,8.0,350.83,1,1022.15,633.98,980.0,0.0,0.0,1022.15,2,6036,30.2853,-97.7467
63,rainey_cummings,9,19,800.2631578947369,0,0,501.0,531.82,670.0,3624,0.184878587196468,2.0,5,84.42,0,3404951.01,3.0,6,95.34,4,123.69,0,966.07,665.66,0.0,4.0,727.71,0,3509.86,3366.34,130.0,0.0,0.0,0.0,0,0,30.255906,-97.739949
20,w_3rd_west,9,11,671.0,0,3,206.32,238.15,2798.0,6063,0.4614877123536203,1.0,10,157.6,0,3406022.58,3.0,27,41.9,17,95.67,0,865.25,281.37,4.0,11.0,309.87,0,2579.74,2336.48,980.0,0.0,0.0,0.0,0,0,30.2678,-97.75189
18,w_3rd_nueces,9,11,613.0909090909091,0,4,18.23,158.21,4952.0,5643,0.8775474038631933,1.0,11,82.64,0,3405980.57,3.0,43,45.32,25,63.75,0,670.95,308.57,3.0,15.0,389.9,0,2489.64,2304.64,980.0,0.0,0.0,0.0,0,0,30.26697,-97.74929
66,riverside_south_lamar,9,19,582.3684210526316,0,1,222.15,332.57,2471.0,7666,0.32233237672841114,1.0,10,124.63,0,3405571.06,3.0,8,69.78,6,74.63,0,1090.18,392.61,1.0,6.0,556.99,0,3253.67,2984.14,980.0,0.0,0.0,0.0,0,0,30.26446,-97.75665
51,e_6th_medina,3,11,572.1818181818181,0,3,182.67,213.82,3289.0,3929,0.8371086790531942,2.0,6,97.99,0,3406045.44,4.0,31,37.94,16,39.42,0,342.66,561.05,0.0,10.0,635.28,0,2447.06,2220.15,900.0,0.0,0.0,0.0,0,0,30.26455,-97.73165
60,nash_hernandez_east_rbj_south,3,11,569.3636363636364,0,2,179.54,250.62,19.0,1700,0.011176470588235295,3.0,1,270.84,0,3404625.85,4.0,0,377.2,0,705.36,0,1636.87,779.71,0.0,1.0,1156.98,0,4003.51,3829.95,900.0,0.0,0.0,0.0,0,0,30.252,-97.7346
62,plaza_saltillo,3,15,502.8,0,2,18.91,194.4,1722.0,2931,0.5875127942681678,2.0,6,105.34,0,3405865.29,3.0,39,70.19,25,92.65,0,756.28,346.08,1.0,7.0,471.53,0,2881.42,2606.44,900.0,0.0,0.0,0.0,0,0,30.26217,-97.72743
58,lakeshore_lady_bird_ln,3,11,474.3636363636364,0,0,485.29,551.92,28.0,3806,0.007356805044666317,2.0,1,293.13,0,3404053.88,3.0,1,413.5,0,572.84,0,1682.08,718.81,0.0,1.0,1281.68,0,5154.13,4894.4,900.0,0.0,0.0,0.0,0,0,30.24478312140979,-97.72319224423872
92,w_7th_congress_w_6th_congress,9,17,466.4117647058824,1,4,151.16,193.5,23222.0,4559,5.093660890546173,1.0,3,172.16,0,3406236.13,3.0,68,31.3,49,31.3,2,214.61,231.56,5.0,16.0,258.29,0,2020.31,1909.33,130.0,0.0,0.0,0.0,0,0,30.26822,-97.74285
13,e_23rd_san_jacinto_dkr_stadium,9,23,459.0,0,8,7.31,32.38,394.0,394,1.0,2.0,4,144.61,0,3408299.93,3.0,7,181.27,3,226.4,2,375.32,481.05,1.0,8.0,553.99,1,497.71,433.17,390.0,535.0,535.0,497.71,8,394,30.2856,-97.7335
59,lakeshore_pleasant_valley,3,15,448.4,0,2,48.4,154.93,0.0,4048,0.0,2.0,6,230.39,0,3403925.18,3.0,0,482.1,0,866.24,0,1750.82,718.81,0.0,1.0,1438.53,0,5646.4,5356.19,900.0,0.0,0.0,0.0,0,0,30.24258,-97.71726
64,rainey_driskill,9,11,444.45454545454544,0,2,107.52,197.77,552.0,5190,0.10635838150289018,2.0,8,111.65,0,3405519.37,2.0,17,26.48,15,51.82,0,692.95,654.87,0.0,7.0,686.74,0,2863.47,2714.93,130.0,0.0,0.0,0.0,0,0,30.260814,-97.738086
24,w_5th_bowie,9,15,436.73333333333335,0,4,77.91,159.37,7211.0,7529,0.957763315181299,1.0,6,93.41,0,3406191.81,3.0,23,47.45,8,47.45,0,690.74,281.37,4.0,8.0,320.41,0,2521.73,2229.58,980.0,0.0,0.0,0.0,0,0,30.2696,-97.75332
16,e_2nd_congress,9,15,426.6666666666667,0,1,144.66,249.66,8640.0,6315,1.368171021377672,1.0,8,93.31,0,3405772.91,3.0,47,58.36,32,65.23,2,239.96,196.48,3.0,14.0,286.32,0,2551.59,2433.77,130.0,0.0,0.0,0.0,0,0,30.26408,-97.74355
54,electric_drive_pfluger_ped_bridge,9,19,409.3157894736842,0,3,163.48,179.99,639.0,5813,0.10992602786857045,1.0,5,134.4,0,3405888.19,3.0,11,113.83,3,161.9,0,919.91,339.68,3.0,9.0,366.45,0,2869.97,2592.34,980.0,0.0,0.0,0.0,0,0,30.267064,-97.75482
29,w_16th_san_antonio,9,11,380.45454545454544,0,4,117.16,170.52,4249.0,3188,1.332810539523212,1.0,5,225.01,0,3407418.53,2.0,6,137.99,4,170.56,0,659.44,636.97,0.0,8.0,734.99,0,907.67,606.37,980.0,0.0,0.0,0.0,0,0,30.27924,-97.74371
57,lake_austin_blvd_deep_eddy,10,11,368.8181818181818,0,4,169.22,190.69,981.0,512,1.916015625,1.0,1,332.65,0,3406753.89,3.0,7,43.62,4,43.75,0,1120.7,560.22,0.0,2.0,1058.72,0,4002.25,3556.1,980.0,0.0,0.0,0.0,0,0,30.27807,-97.77272
71,south_congress_barton_springs,9,11,363.8181818181818,0,0,282.98,308.42,3689.0,4549,0.8109474609804352,1.0,0,313.75,0,3405110.11,3.0,12,80.27,4,194.03,2,411.6,353.63,3.0,10.0,425.09,0,3330.27,3213.11,130.0,0.0,0.0,0.0,0,0,30.25839,-97.74592
21,w_4th_congress,9,15,360.3333333333333,0,2,236.2,256.65,17250.0,4559,3.7837245009870584,1.0,8,132.25,0,3406014.4,3.0,80,42.23,57,65.5,3,120.81,263.5,6.0,16.0,307.44,0,2283.32,2172.83,130.0,0.0,0.0,0.0,0,0,30.26634,-97.74378
52,e_6th_pedernales,3,11,345.1818181818182,0,1,262.48,288.65,1187.0,3954,0.3002023267577137,2.0,1,300.72,0,3405751.87,2.0,7,55.25,4,55.25,0,561.49,501.7,0.0,3.0,690.09,0,3955.52,3599.32,900.0,0.0,0.0,0.0,0,0,30.25895,-97.71475
