id,name,district,total_docks,trips_per_dock,ebs_station,is_ut,lat,lon,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby_275m,housing_nearby_275m,housing_nearby_1000m,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,min_dist_to_ut_hotspot_m,avg_dist_3_nearest_ut_hotspot_m,ut_hotspot_within_300m,ut_hotspot_within_500m,min_dist_to_wampus_hotspot_m,avg_dist_3_nearest_wampus_hotspot_m,wampus_hotspot_within_300m,wampus_hotspot_within_500m,dist_to_west_campus_center_m,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing_275m,ut_x_ut_hotspots_300m,ut_x_wampus_hotspots_300m
15,w_28th_rio_grande,9,7,3299.714285714286,0,1,30.29333,-97.74412,2,258.81,269.18,651.0,811.0,6877,0.8027127003699137,2.0,5,177.85,0,3408943.18,3.0,9,226.25,1,274.93,0,1207.39,366.83,1.0,5.0,616.24,604.42,491.45,588.0,588.0,652.15,845.13,0,0,332.14,503.53,0,1,727.54,588.0,604.42,2,811.0,0,0
10,w_22_5_rio_grande,9,5,2588.4,0,1,30.2862,-97.74516,1,204.99,304.97,779.0,1298.0,5718,0.6001540832049307,2.0,19,116.56,0,3408148.49,3.0,9,50.86,5,56.17,0,631.14,207.0,4.0,10.0,306.78,817.09,544.37,980.0,0.0,458.43,554.75,0,1,160.28,181.02,4,6,394.68,0.0,817.09,1,1298.0,0,4
8,e_21st_speedway_pcl,9,17,2579.470588235294,0,1,30.283,-97.7375,1,243.2,312.94,31.0,0.0,2653,31.0,2.0,5,123.92,0,3407942.81,3.0,7,48.83,2,151.27,1,370.12,236.46,1.0,9.0,435.77,75.13,78.34,1200.0,5103.0,83.56,108.66,4,10,746.56,785.62,0,0,1319.82,5103.0,75.13,1,0.0,4,0
14,w_26th_nueces,9,13,2532.3076923076924,0,1,30.29068,-97.74292,5,126.31,151.19,489.0,1053.0,6414,0.46438746438746437,2.0,10,76.94,0,3408677.27,3.0,13,122.59,6,135.4,0,940.9,301.57,2.0,9.0,432.49,350.15,159.44,588.0,2172.0,312.03,501.46,0,1,158.25,250.08,2,3,582.17,2172.0,350.15,5,1053.0,0,2
12,w_23rd_san_gabriel,9,11,2505.454545454545,0,1,30.2874,-97.7478,1,200.26,280.85,622.0,508.0,6036,1.2244094488188977,2.0,11,164.62,0,3408230.0,3.0,4,82.91,2,173.47,1,736.92,297.13,2.0,7.0,439.22,978.73,778.88,588.0,0.0,753.52,818.53,0,0,162.44,263.31,2,5,145.69,0.0,978.73,1,508.0,0,2
7,w_21st_guadalupe,9,11,1966.0,0,1,30.28395,-97.74198,5,73.82,97.12,1643.0,654.0,4028,2.5122324159021407,2.0,15,65.04,0,3407962.86,3.0,22,59.39,13,69.84,1,435.07,221.94,3.0,11.0,319.13,586.21,86.8,980.0,980.0,367.14,387.24,0,4,237.16,301.0,2,3,849.49,980.0,586.21,5,654.0,0,2
43,dean_keeton_speedway,9,23,1449.6521739130435,0,1,30.28953,-97.73695,9,20.5,101.19,7.0,0.0,3870,7.0,2.0,1,338.46,0,3408663.13,3.0,2,295.57,1,321.84,0,742.23,386.74,2.0,10.0,486.33,339.59,292.94,270.0,1584.0,79.36,147.83,4,7,678.21,788.76,0,0,1181.9,1584.0,339.59,9,0.0,4,0
9,w_21st_university,9,19,1332.3157894736842,0,1,30.28354,-97.73953,3,8.41,115.68,510.0,0.0,3587,510.0,2.0,5,180.78,0,3407963.8,3.0,8,205.85,4,211.25,1,348.51,236.46,3.0,10.0,295.42,308.46,208.23,980.0,4058.0,175.64,248.11,2,10,512.98,554.84,0,0,1093.62,4058.0,308.46,3,0.0,2,0
55,guadalupe_west_mall_university_co_op,9,15,1244.9333333333334,0,1,30.285664,-97.741792,5,22.39,56.91,707.0,790.0,4289,0.8949367088607595,2.0,12,148.07,0,3408152.74,3.0,20,31.8,6,69.53,1,561.54,221.94,3.0,11.0,325.06,649.54,282.36,980.0,1664.0,154.15,215.12,3,6,247.79,280.05,2,5,733.09,1664.0,649.54,5,790.0,3,2
44,dean_keeton_whitis,9,19,1218.5263157894738,0,1,30.2898,-97.74041,5,97.1,111.5,552.0,0.0,5951,552.0,2.0,3,243.51,0,3408628.19,3.0,16,135.18,9,135.18,0,864.02,301.57,2.0,12.0,414.42,115.49,36.84,900.0,2172.0,76.46,280.69,1,7,301.73,429.44,0,2,806.85,2172.0,115.49,5,0.0,1,0
