id,name,district,total_docks,trips_per_dock,ebs_station,is_ut,lat,lon,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby_275m,housing_nearby_275m,housing_nearby_1000m,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,dist_to_west_campus_center_m,in_ut_shape,dist_to_ut_shape_m,ut_shape_area_within_275m,ut_shape_share_of_275m_buffer,ut_shape_touches_275m_buffer,ut_shape_area_within_500m,ut_shape_share_of_500m_buffer,ut_shape_touches_500m_buffer,in_west_campus_shape,dist_to_west_campus_shape_m,west_campus_shape_area_within_275m,west_campus_shape_share_of_275m_buffer,west_campus_shape_touches_275m_buffer,west_campus_shape_area_within_500m,west_campus_shape_share_of_500m_buffer,west_campus_shape_touches_500m_buffer,in_north_campus_shape,dist_to_north_campus_shape_m,north_campus_shape_area_within_275m,north_campus_shape_share_of_275m_buffer,north_campus_shape_touches_275m_buffer,north_campus_shape_area_within_500m,north_campus_shape_share_of_500m_buffer,north_campus_shape_touches_500m_buffer,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing_275m,ut_x_in_ut_shape,ut_x_in_west_campus_shape,ut_x_in_north_campus_shape,ut_x_ut_shape_share_275m,ut_x_west_campus_share_275m,ut_x_north_campus_share_275m
15,w_28th_rio_grande,9,7,3299.714285714286,0,1,30.29333,-97.74412,3,222.84,232.12,731.0,811.0,7691,0.9013563501849569,2.0,8,153.39,0,3408943.18,3.0,16,195.2,4,236.9,0,1040.08,315.57,1.0,7.0,530.53,521.29,423.19,588.0,588.0,626.31,0,328.15,0.0,0.0,0,32422.62,0.0413,1,1,0.0,223691.9,0.943,1,548817.79,0.6999,1,0,202.39,18268.83,0.077,1,146351.94,0.1866,1,588.0,521.29,3,811.0,0,1,0,0.0,0.943,0.077
10,w_22_5_rio_grande,9,5,2588.4,0,1,30.2862,-97.74516,1,176.83,263.41,893.0,1654.0,6712,0.5399032648125756,2.0,23,100.56,0,3408148.49,3.0,10,43.85,6,48.33,0,544.28,178.58,4.0,11.0,264.87,704.37,469.42,980.0,980.0,340.06,0,227.25,2414.91,0.0102,1,98527.91,0.1257,1,1,0.0,237201.48,1.0,1,653618.54,0.8336,1,0,736.94,0.0,0.0,0,0.0,0.0,0,980.0,704.37,1,1654.0,0,1,0,0.0102,1.0,0.0
8,e_21st_speedway_pcl,9,17,2579.470588235294,0,1,30.283,-97.7375,2,210.05,269.92,48.0,0.0,3957,48.0,2.0,7,106.94,0,3407942.81,3.0,8,42.17,2,130.31,1,318.89,204.23,3.0,12.0,376.18,64.92,67.46,1200.0,5103.0,1138.77,1,0.0,234020.28,0.9866,1,623390.94,0.795,1,0,202.48,12264.51,0.0517,1,78837.7,0.1005,1,0,724.58,0.0,0.0,0,0.0,0.0,0,5103.0,64.92,2,0.0,1,0,0,0.9866,0.0517,0.0
14,w_26th_nueces,9,13,2532.3076923076924,0,1,30.29068,-97.74292,5,108.59,130.43,1067.0,1053.0,8586,1.01329534662868,2.0,11,66.27,0,3408677.27,3.0,17,105.85,10,116.9,0,811.25,260.38,2.0,11.0,372.4,302.53,137.66,588.0,2172.0,502.43,0,152.2,45751.53,0.1929,1,173939.02,0.2218,1,1,0.0,193813.11,0.8171,1,511107.42,0.6518,1,0,213.77,5724.64,0.0241,1,99921.68,0.1274,1,2172.0,302.53,5,1053.0,0,1,0,0.1929,0.8171,0.0241
12,w_23rd_san_gabriel,9,11,2505.454545454545,0,1,30.2874,-97.7478,2,172.2,241.54,677.0,508.0,6543,1.3326771653543308,2.0,14,142.06,0,3408230.0,3.0,4,71.5,2,149.74,1,635.58,255.67,2.0,9.0,378.67,844.95,672.26,588.0,0.0,125.28,0,381.27,0.0,0.0,0,8934.12,0.0114,1,1,0.0,237201.48,1.0,1,760898.51,0.9704,1,0,807.45,0.0,0.0,0,0.0,0.0,0,0.0,844.95,2,508.0,0,1,0,0.0,1.0,0.0
7,w_21st_guadalupe,9,11,1966.0,0,1,30.28395,-97.74198,7,63.48,83.81,1811.0,654.0,5707,2.7691131498470947,2.0,19,56.03,0,3407962.86,3.0,31,51.18,16,60.18,1,374.99,190.83,5.0,11.0,275.16,506.43,74.83,980.0,2180.0,732.27,0,13.58,107163.7,0.4518,1,316485.74,0.4036,1,1,0.0,164601.82,0.6939,1,349439.57,0.4456,1,0,790.96,0.0,0.0,0,0.0,0.0,0,2180.0,506.43,7,654.0,0,1,0,0.4518,0.6939,0.0
43,dean_keeton_speedway,9,23,1449.6521739130435,0,1,30.28953,-97.73695,11,17.71,87.41,7.0,0.0,6032,7.0,2.0,1,291.78,0,3408663.13,3.0,2,254.72,1,277.56,0,639.65,334.14,2.0,11.0,419.63,293.21,252.89,270.0,2172.0,1021.15,1,0.0,219203.23,0.9241,1,528513.18,0.674,1,0,435.46,0.0,0.0,0,21224.79,0.0271,1,0,12.0,60642.31,0.2557,1,278049.52,0.3546,1,2172.0,293.21,11,0.0,1,0,0,0.9241,0.0,0.2557
9,w_21st_university,9,19,1332.3157894736842,0,1,30.28354,-97.73953,4,7.24,99.92,510.0,0.0,5011,510.0,2.0,8,156.06,0,3407963.8,3.0,11,177.77,5,182.51,1,300.07,204.23,3.0,12.0,254.93,266.47,179.93,980.0,4203.0,943.34,1,0.0,220299.38,0.9287,1,495319.35,0.6317,1,0,1.72,63454.48,0.2675,1,189664.47,0.2419,1,0,711.08,0.0,0.0,0,0.0,0.0,0,4203.0,266.47,4,0.0,1,0,0,0.9287,0.2675,0.0
55,guadalupe_west_mall_university_co_op,9,15,1244.9333333333334,0,1,30.285664,-97.741792,6,19.32,48.97,828.0,1444.0,7185,0.5734072022160664,2.0,14,127.85,0,3408152.74,3.0,26,27.46,9,59.94,1,483.97,190.83,5.0,13.0,280.25,560.48,242.79,980.0,2564.0,632.64,0,10.54,112810.36,0.4756,1,387529.57,0.4942,1,1,0.0,128010.38,0.5397,1,427619.3,0.5453,1,0,640.25,0.0,0.0,0,0.0,0.0,0,2564.0,560.48,6,1444.0,0,1,0,0.4756,0.5397,0.0
44,dean_keeton_whitis,9,19,1218.5263157894738,0,1,30.2898,-97.74041,6,83.85,96.27,552.0,440.0,7350,1.2545454545454546,2.0,3,210.28,0,3408628.19,3.0,18,116.74,9,116.74,0,745.22,260.38,3.0,12.0,357.27,99.47,31.81,900.0,2172.0,697.0,1,0.0,159303.73,0.6716,1,382345.61,0.4876,1,0,101.44,64148.14,0.2704,1,281382.75,0.3588,1,0,224.33,9858.96,0.0416,1,158905.51,0.2027,1,2172.0,99.47,6,440.0,1,0,0,0.6716,0.2704,0.0416
