id,name,district,total_docks,trips_per_dock,ebs_station,is_ut,lat,lon,transit_nearby,nearest_transit_stop_dist_m,avg_dist_3_nearest_transit_stops_m,jobs_nearby_275m,housing_nearby_275m,housing_nearby_1000m,job_housing_ratio_275m,low_income_access_score,amenities_nearby,avg_dist_3_nearest_amenities_m,park_area_nearby,nearest_park_dist_m,bike_infra_score,retail_nearby,avg_dist_3_nearest_retail_m,entertainment_nearby,avg_dist_3_nearest_entertainment_m,tourism_nearby,avg_dist_3_nearest_tourism_m,nearest_station_dist_m,stations_within_500m,stations_within_1000m,avg_stations_dist_3_nearest_m,nearest_dining_hall_dist_m,nearest_dorm_dist_m,nearest_dorm_pop,dorm_pop_within_500m,dist_to_west_campus_center_m,in_ut_shape,dist_to_ut_shape_m,ut_shape_area_within_275m,ut_shape_share_of_275m_buffer,ut_shape_touches_275m_buffer,ut_shape_area_within_500m,ut_shape_share_of_500m_buffer,ut_shape_touches_500m_buffer,ut_shape_area_within_1000m,ut_shape_share_of_1000m_buffer,ut_shape_touches_1000m_buffer,in_west_campus_shape,dist_to_west_campus_shape_m,west_campus_shape_area_within_275m,west_campus_shape_share_of_275m_buffer,west_campus_shape_touches_275m_buffer,west_campus_shape_area_within_500m,west_campus_shape_share_of_500m_buffer,west_campus_shape_touches_500m_buffer,west_campus_shape_area_within_1000m,west_campus_shape_share_of_1000m_buffer,west_campus_shape_touches_1000m_buffer,in_north_campus_shape,dist_to_north_campus_shape_m,north_campus_shape_area_within_275m,north_campus_shape_share_of_275m_buffer,north_campus_shape_touches_275m_buffer,north_campus_shape_area_within_500m,north_campus_shape_share_of_500m_buffer,north_campus_shape_touches_500m_buffer,north_campus_shape_area_within_1000m,north_campus_shape_share_of_1000m_buffer,north_campus_shape_touches_1000m_buffer,ut_x_dorm_pop_500m,ut_x_dining_dist,ut_x_transit,ut_x_housing_275m,ut_x_in_ut_shape,ut_x_in_west_campus_shape,ut_x_in_north_campus_shape,ut_x_ut_shape_share_275m,ut_x_west_campus_share_275m,ut_x_north_campus_share_275m,ut_x_students_500m,ut_x_grad_share_500m,demo_age_area_weighted_1000m,demo_age_area_weighted_275m,demo_age_area_weighted_500m,demo_age_max_1000m,demo_age_max_275m,demo_age_max_500m,demo_age_min_1000m,demo_age_min_275m,demo_age_min_500m,demo_age_range_1000m,demo_age_range_275m,demo_age_range_500m,demo_area_covered_1000m2,demo_area_covered_275m2,demo_area_covered_500m2,demo_coverage_share_of_1000m_buffer,demo_coverage_share_of_275m_buffer,demo_coverage_share_of_500m_buffer,demo_income_area_weighted_1000m,demo_income_area_weighted_275m,demo_income_area_weighted_500m,demo_income_max_1000m,demo_income_max_275m,demo_income_max_500m,demo_income_min_1000m,demo_income_min_275m,demo_income_min_500m,demo_income_per_student_500m,demo_income_range_1000m,demo_income_range_275m,demo_income_range_500m,demo_polygons_intersecting_1000m,demo_polygons_intersecting_275m,demo_polygons_intersecting_500m,grad_density_sqkm_1000m,grad_density_sqkm_275m,grad_density_sqkm_500m,grad_est_1000m,grad_est_275m,grad_est_500m,grad_share_students_1000m,grad_share_students_275m,grad_share_students_500m,grad_to_undergrad_ratio_500m,student_density_sqkm_1000m,student_density_sqkm_275m,student_density_sqkm_500m,student_to_housing_ratio_275m,student_to_jobs_ratio_275m,students_est_1000m,students_est_275m,students_est_500m,undergrad_density_sqkm_1000m,undergrad_density_sqkm_275m,undergrad_density_sqkm_500m,undergrad_est_1000m,undergrad_est_275m,undergrad_est_500m,undergrad_share_students_1000m,undergrad_share_students_275m,undergrad_share_students_500m,ut_x_grad_share_500m,ut_x_students_500m
15,w_28th_rio_grande,9,7,3299.714285714286,0,1,30.29333,-97.74412,3,222.84,232.12,731.0,811.0,7691,0.9013563501849569,2.0,8,153.39,10157.2,216.73,3.0,16,195.2,4,236.9,0,1040.08,315.57,1.0,7.0,530.53,521.29,423.19,588.0,588.0,626.31,0,328.15,0.0,0.0,0,32422.62,0.0413,1,405906.29,0.1294,1,1,0.0,223691.9,0.943,1,548817.79,0.6999,1,1416694.93,0.4517,1,0,202.39,18268.83,0.077,1,146351.94,0.1866,1,690271.25,0.2201,1,588.0,521.29,3,811.0,0,1,0,0.0,0.943,0.077,4459.5573,0.1451,26.8133,21.9826,23.5289,46.5,28.1,46.5,19.4,20.6,19.4,27.1,7.5,27.1,3136548.4905,237201.4796,784137.1226,1.0,1.0,1.0,65697.2242,15451.1899,32975.1429,250001.0,66397.0,250001.0,2499.0,5287.0,2499.0,7.394263753489611,247502.0,61110.0,247502.0,23,6,13,491.3048,1236.3645,824.9464,1541.0012,293.2675,646.8711,0.0969,0.1832,0.1451,0.1696628219757503,5072.805,6749.5418,5687.2162,1.9741076448828605,2.1901522571819423,15911.0988,1601.0013,4459.5573,4581.5002,5513.1773,4862.2698,14370.0976,1307.7338,3812.6862,0.9031,0.8168,0.8549,0.1451,4459.5573
10,w_22_5_rio_grande,9,5,2588.4,0,1,30.2862,-97.74516,1,176.83,263.41,893.0,1654.0,6712,0.5399032648125756,2.0,23,100.56,0.0,644.4,3.0,10,43.85,6,48.33,0,544.28,178.58,4.0,11.0,264.87,704.37,469.42,980.0,980.0,340.06,0,227.25,2414.91,0.0102,1,98527.91,0.1257,1,707118.38,0.2254,1,1,0.0,237201.48,1.0,1,653618.54,0.8336,1,1262917.8,0.4026,1,0,736.94,0.0,0.0,0,0.0,0.0,0,108606.19,0.0346,1,980.0,704.37,1,1654.0,0,1,0,0.0102,1.0,0.0,8380.9574,0.0409,28.1901,20.8554,22.4974,46.5,21.7,44.4,19.4,19.9,19.4,27.1,1.8,25.0,3136548.4905,237201.4796,784137.1226,1.0,1.0,1.0,52118.1492,17812.6935,21122.2122,250001.0,39063.0,98706.0,2499.0,2499.0,2499.0,2.5202624463882852,247502.0,36564.0,96207.0,18,7,11,323.5006,606.312,436.8429,1014.6754,143.8181,342.5448,0.055,0.0369,0.0409,0.042613488140680916,5879.6262,16437.7138,10688.1273,2.3573458282950424,4.366237402015678,18441.7328,3899.05,8380.9574,5556.1256,15831.4018,10251.2843,17427.0575,3755.2319,8038.4126,0.945,0.9631,0.9591,0.0409,8380.9574
8,e_21st_speedway_pcl,9,17,2579.470588235294,0,1,30.283,-97.7375,2,210.05,269.92,48.0,0.0,3957,48.0,2.0,7,106.94,0.0,829.31,3.0,8,42.17,2,130.31,1,318.89,204.23,3.0,12.0,376.18,64.92,67.46,1200.0,5103.0,1138.77,1,0.0,234020.28,0.9866,1,623390.94,0.795,1,1725637.92,0.5502,1,0,202.48,12264.51,0.0517,1,78837.7,0.1005,1,482414.59,0.1538,1,0,724.58,0.0,0.0,0,0.0,0.0,0,136503.0,0.0435,1,5103.0,64.92,2,0.0,1,0,0,0.9866,0.0517,0.0,5367.4799,0.0174,29.2141,19.5372,24.317,44.4,44.4,44.4,19.4,19.4,19.4,25.0,25.0,25.0,3136548.4905,237201.4796,784137.1226,1.0,1.0,1.0,54886.1828,11108.5001,31396.2375,125774.0,98706.0,98706.0,2499.0,10625.0,10625.0,5.849344214591283,123275.0,88081.0,88081.0,16,2,5,177.603,97.1281,119.3924,557.0603,23.0389,93.62,0.0368,0.0108,0.0174,0.017751704022323383,4824.3686,8991.52,6845.0782,0.0,44.433370833333335,15131.8659,2132.8018,5367.4799,4646.7656,8894.3919,6725.6858,14574.8056,2109.7629,5273.8599,0.9632,0.9892,0.9826,0.0174,5367.4799
14,w_26th_nueces,9,13,2532.3076923076924,0,1,30.29068,-97.74292,5,108.59,130.43,1067.0,1053.0,8586,1.01329534662868,2.0,11,66.27,0.0,386.09,3.0,17,105.85,10,116.9,0,811.25,260.38,2.0,11.0,372.4,302.53,137.66,588.0,2172.0,502.43,0,152.2,45751.53,0.1929,1,173939.02,0.2218,1,717473.46,0.2287,1,1,0.0,193813.11,0.8171,1,511107.42,0.6518,1,1504203.97,0.4796,1,0,213.77,5724.64,0.0241,1,99921.68,0.1274,1,664777.96,0.2119,1,2172.0,302.53,5,1053.0,0,1,0,0.1929,0.8171,0.0241,7533.2863,0.0885,24.2463,21.4253,21.0233,46.5,22.1,46.5,19.4,19.4,19.4,27.1,2.7,27.1,3136548.4905,237201.4796,784137.1226,1.0,1.0,1.0,43385.31,6231.8201,13292.4115,250001.0,31146.0,250001.0,2499.0,2499.0,2499.0,1.7644904190087665,247502.0,28647.0,247502.0,24,6,13,504.7547,1622.856,850.4582,1583.1875,384.9439,666.8759,0.0795,0.1729,0.0885,0.09712147412569457,6346.8085,9387.2402,9607.1032,2.114593827160494,2.0868484536082477,19907.0726,2226.6673,7533.2863,5842.0538,7764.3842,8756.645,18323.8851,1841.7234,6866.4104,0.9205,0.8271,0.9115,0.0885,7533.2863
12,w_23rd_san_gabriel,9,11,2505.454545454545,0,1,30.2874,-97.7478,2,172.2,241.54,677.0,508.0,6543,1.3326771653543308,2.0,14,142.06,0.0,371.86,3.0,4,71.5,2,149.74,1,635.58,255.67,2.0,9.0,378.67,844.95,672.26,588.0,0.0,125.28,0,381.27,0.0,0.0,0,8934.12,0.0114,1,398209.75,0.127,1,1,0.0,237201.48,1.0,1,760898.51,0.9704,1,1322173.94,0.4215,1,0,807.45,0.0,0.0,0,0.0,0.0,0,58709.22,0.0187,1,0.0,844.95,2,508.0,0,1,0,0.0,1.0,0.0,6329.5521,0.0424,30.2815,21.2279,21.8441,46.5,21.3,44.4,19.4,21.0,19.9,27.1,0.3,24.5,3136548.4905,237201.4796,784137.1226,1.0,1.0,1.0,77858.9395,12061.0058,17797.9945,250001.0,39063.0,98706.0,2499.0,2499.0,2499.0,2.8118884589005915,247502.0,36564.0,96207.0,20,5,12,303.8117,445.5885,342.2113,952.9201,105.6942,268.3406,0.061,0.0635,0.0424,0.04427177636022105,4981.7419,7021.0051,8071.9965,3.278332283464567,2.459959822747415,15625.4749,1665.3928,6329.5521,4677.9302,6575.4166,7729.7852,14672.5548,1559.6986,6061.2115,0.939,0.9365,0.9576,0.0424,6329.5521
7,w_21st_guadalupe,9,11,1966.0,0,1,30.28395,-97.74198,7,63.48,83.81,1811.0,654.0,5707,2.7691131498470947,2.0,19,56.03,0.0,868.53,3.0,31,51.18,16,60.18,1,374.99,190.83,5.0,11.0,275.16,506.43,74.83,980.0,2180.0,732.27,0,13.58,107163.7,0.4518,1,316485.74,0.4036,1,1141156.14,0.3638,1,1,0.0,164601.82,0.6939,1,349439.57,0.4456,1,983001.28,0.3134,1,0,790.96,0.0,0.0,0,0.0,0.0,0,80489.1,0.0257,1,2180.0,506.43,7,654.0,0,1,0,0.4518,0.6939,0.0,8152.2568,0.0268,28.8518,20.6143,25.2172,45.9,44.4,44.4,19.4,19.4,19.4,26.5,25.0,25.0,3136548.4905,237201.4796,784137.1226,1.0,1.0,1.0,45821.3764,19277.6854,33962.9892,139474.0,98706.0,98706.0,2499.0,10625.0,4823.0,4.16608431667658,136975.0,88081.0,93883.0,17,4,7,291.3546,438.0251,278.9384,913.848,103.9002,218.726,0.0505,0.0317,0.0268,0.027569817968060323,5765.7702,13802.6052,10396.4684,5.00611376146789,1.8078400883489785,18084.6178,3273.9984,8152.2568,5474.4155,13364.5801,10117.53,17170.7698,3170.0982,7933.5308,0.9495,0.9683,0.9732,0.0268,8152.2568
43,dean_keeton_speedway,9,23,1449.6521739130435,0,1,30.28953,-97.73695,11,17.71,87.41,7.0,0.0,6032,7.0,2.0,1,291.78,0.0,367.66,3.0,2,254.72,1,277.56,0,639.65,334.14,2.0,11.0,419.63,293.21,252.89,270.0,2172.0,1021.15,1,0.0,219203.23,0.9241,1,528513.18,0.674,1,1306492.8,0.4165,1,0,435.46,0.0,0.0,0,21224.79,0.0271,1,729736.33,0.2327,1,0,12.0,60642.31,0.2557,1,278049.52,0.3546,1,1182273.34,0.3769,1,2172.0,293.21,11,0.0,1,0,0,0.9241,0.0,0.2557,5402.2301,0.061,23.0777,19.8152,21.263,44.4,29.9,29.9,19.4,19.4,19.4,25.0,10.5,10.5,3136548.4905,237201.4796,784137.1226,1.0,1.0,1.0,38295.5643,14929.2027,28589.6954,116593.0,116593.0,116593.0,2499.0,10625.0,4823.0,5.292202455426695,114094.0,105968.0,111770.0,20,4,8,549.4449,118.3926,420.0425,1723.3606,28.0829,329.3709,0.0913,0.0137,0.061,0.06492805999677775,6016.9653,8645.1157,6889.3946,0.0,292.9477428571428,18872.5036,2050.6342,5402.2301,5467.5204,8526.7231,6469.3521,17149.143,2022.5513,5072.8591,0.9087,0.9863,0.939,0.061,5402.2301
9,w_21st_university,9,19,1332.3157894736842,0,1,30.28354,-97.73953,4,7.24,99.92,510.0,0.0,5011,510.0,2.0,8,156.06,0.0,898.94,3.0,11,177.77,5,182.51,1,300.07,204.23,3.0,12.0,254.93,266.47,179.93,980.0,4203.0,943.34,1,0.0,220299.38,0.9287,1,495319.35,0.6317,1,1518735.06,0.4842,1,0,1.72,63454.48,0.2675,1,189664.47,0.2419,1,707451.07,0.2256,1,0,711.08,0.0,0.0,0,0.0,0.0,0,131481.29,0.0419,1,4203.0,266.47,4,0.0,1,0,0,0.9287,0.2675,0.0,7411.4227,0.0217,28.9015,19.5828,24.1028,44.4,44.4,44.4,19.4,19.4,19.4,25.0,25.0,25.0,3136548.4905,237201.4796,784137.1226,1.0,1.0,1.0,49608.2624,11647.0475,28645.9469,116593.0,98706.0,98706.0,2499.0,10625.0,10625.0,3.8651076938304976,114094.0,88081.0,88081.0,16,4,4,258.8584,128.6008,205.2042,811.922,30.5043,160.9082,0.0478,0.0139,0.0217,0.022192659875277264,5413.1253,9231.0031,9451.6921,0.0,4.2933482352941175,16978.5298,2189.6076,7411.4227,5154.2668,9102.4023,9246.4879,16166.6078,2159.1033,7250.5144,0.9522,0.9861,0.9783,0.0217,7411.4227
55,guadalupe_west_mall_university_co_op,9,15,1244.9333333333334,0,1,30.285664,-97.741792,6,19.32,48.97,828.0,1444.0,7185,0.5734072022160664,2.0,14,127.85,0.0,849.83,3.0,26,27.46,9,59.94,1,483.97,190.83,5.0,13.0,280.25,560.48,242.79,980.0,2564.0,632.64,0,10.54,112810.36,0.4756,1,387529.57,0.4942,1,1113642.61,0.3551,1,1,0.0,128010.38,0.5397,1,427619.3,0.5453,1,1135905.6,0.3622,1,0,640.25,0.0,0.0,0,0.0,0.0,0,257499.79,0.0821,1,2564.0,560.48,6,1444.0,0,1,0,0.4756,0.5397,0.0,9370.6684,0.0279,26.4772,19.8519,21.0162,46.5,21.7,44.4,19.4,19.4,19.4,27.1,2.3,25.0,3136548.4905,237201.4796,784137.1226,1.0,1.0,1.0,38933.9113,15610.6112,17288.7208,250001.0,22132.0,98706.0,2499.0,4823.0,2499.0,1.8449826695393468,247502.0,17309.0,96207.0,21,4,8,358.5602,349.2811,333.8603,1124.6414,82.85,261.7922,0.0568,0.0203,0.0279,0.028740340109134423,6313.5998,17212.4439,11950.2931,2.827435734072022,4.9309386473429955,19802.9121,4082.8172,9370.6684,5955.0397,16863.1629,11616.4328,18678.2707,3999.9672,9108.8762,0.9432,0.9797,0.9721,0.0279,9370.6684
44,dean_keeton_whitis,9,19,1218.5263157894738,0,1,30.2898,-97.74041,6,83.85,96.27,552.0,440.0,7350,1.2545454545454546,2.0,3,210.28,0.0,459.06,3.0,18,116.74,9,116.74,0,745.22,260.38,3.0,12.0,357.27,99.47,31.81,900.0,2172.0,697.0,1,0.0,159303.73,0.6716,1,382345.61,0.4876,1,1007798.69,0.3213,1,0,101.44,64148.14,0.2704,1,281382.75,0.3588,1,1244903.3,0.3969,1,0,224.33,9858.96,0.0416,1,158905.51,0.2027,1,848039.51,0.2704,1,2172.0,99.47,6,440.0,1,0,0,0.6716,0.2704,0.0416,8030.0391,0.0756,23.2952,20.1267,20.3524,46.5,21.9,22.9,19.4,19.4,19.4,27.1,2.5,3.5,3136548.4905,237201.4796,784137.1226,1.0,1.0,1.0,35024.3039,9563.659,12922.7365,250001.0,31146.0,38619.0,2499.0,4823.0,2499.0,1.6092993245823672,247502.0,26323.0,36120.0,23,5,9,528.0159,563.3699,774.4614,1656.1474,133.6322,607.2839,0.0801,0.0623,0.0756,0.08181381220816766,6590.3004,9046.8875,10240.6057,4.877125227272727,3.887563586956522,20670.7968,2145.9351,8030.0391,6062.2845,8483.5177,9466.1443,19014.6494,2012.3029,7422.7552,0.9199,0.9377,0.9244,0.0756,8030.0391
