scoring_name,cleaned_name,coordinate_name,lat,lon
Barton Springs Pool,barton springs pool,Barton Springs Pool,30.26452,-97.7712
Barton Springs/Azie Morton,azie morton/barton springs,,30.261881964956064,-97.76897665654796
Barton Springs/Bouldin@ Palmer Auditorium,barton springs/bouldin,,30.25966,-97.753445
Barton Springs/Kinney,barton springs/kinney,Barton Springs @ Kinney Ave,30.262,-97.76118
Cesar Chavez/Congress,cesar chavez/congress,Congress & Cesar Chavez,30.26332,-97.74508
Dean Keeton/Park Place,dean keeton/place,,30.28931,-97.733037
Dean Keeton/Robert Dedman Dr,dean keeton/robert dedman,,30.28785,-97.728541
Dean Keeton/Speedway,dean keeton/speedway,Dean Keeton & Speedway,30.28953,-97.73695
Dean Keeton/Whitis,dean keeton/whitis,Dean Keeton & Whitis,30.2898,-97.74041
E 10th/Red River,10/red river,10th & Red River,30.27024,-97.73578
E 11th/Salina,11/salina,11th & Salina,30.26638,-97.7214
E 11th/San Jacinto,11/san jacinto,11th & San Jacinto,30.27193,-97.73854
E 11th/San Marcos,11/san marcos,East 11th St. & San Marcos,30.26968,-97.73074
E 11th/Waller,11/waller,,30.26899800040119,-97.72843433423911
E 12th/San Jacinto @ State Cap Visitors Garage,12/san jacinto,,30.273499,-97.738097
E 13th/Trinity @ Waterloo Greenway,13/trinity,13th & Trinity,30.2741,-97.73666
E 21st/Speedway @ PCL,21/speedway,21st & Speedway @PCL,30.283,-97.7375
E 23rd/San Jacinto @ DKR Stadium,23/san jacinto,23rd & San Jacinto @ DKR Stadium,30.2856,-97.7335
E 2nd/Congress,2/congress,2nd & Congress,30.26408,-97.74355
E 2nd/Pedernales,2/pedernales,East 2nd & Pedernales,30.25542,-97.71665
E 4th/Chicon,4/chicon,East 4th & Chicon,30.25987,-97.72373
E 5th/Neches @ Downtown Station,5/neches,,30.265843991099903,-97.73891781267969
E 5th/Broadway,5/broadway,Capital Metro HQ - East 5th at Broadway,30.2563,-97.71007
E 6th/Chalmers,6/chalmers,6th & Chalmers,30.26269,-97.72438
E 6th/Chicon,6/chicon,,30.259718,-97.723198
E 6th/Medina,6/medina,Medina & East 6th,30.26455,-97.73165
E 6th/Pedernales,6/pedernales,East 6th & Pedernales St.,30.25895,-97.71475
E 8th/Lavaca,8/lavaca,8th & Lavaca,30.27059,-97.74441
E 8th/Red River,8/red river,Red River & 8th Street,30.26854,-97.73646
E 8th/Trinity,8/trinity,,30.26895625697814,-97.7386856328997
Electric Drive @ Pfluger Ped Bridge,electric/pfluger ped,,30.267064,-97.75482
Guadalupe/West Mall @ University Co-op,guadalupe/university co,,30.285664,-97.741792
Hollow Creek/Barton Hills,barton hills/hollow creek,Hollow Creek & Barton Hills,30.26139,-97.77234
Lake Austin Blvd/Deep Eddy,deep eddy/lake austin,Lake Austin Blvd @ Deep Eddy,30.27807,-97.77272
Lakeshore/Lady Bird Ln.,lady bird/lakeshore,,30.24478312140979,-97.72319224423872
Lakeshore/Pleasant Valley,lakeshore/pleasant valley,Lakeshore & Pleasant Valley,30.24258,-97.71726
Nash Hernandez/East @ RBJ South,nash hernandez/rbj,Nash Hernandez @ RBJ South,30.252,-97.7346
One Texas Center,one texas,,30.257653,-97.74898
Plaza Saltillo	,plaza saltillo,Plaza Saltillo,30.26217,-97.72743
Rainey/Cummings	,cummings/rainey,Rainey St @ Cummings,30.255906,-97.739949
Rainey/Driskill,driskill/rainey,Rainey/Driskill,30.260814,-97.738086
Riverside/South Lamar,lamar/riverside,Riverside @ S. Lamar,30.26446,-97.75665
Rosewood/Angelina,angelina/rosewood,Rosewood & Angelina,30.26888,-97.72431
S 1st/Riverside @ Long Center,1/riverside,,30.259384,-97.749726
South Congress @ Bouldin Creek,bouldin creek/congress,South Congress @ Bouldin Creek,30.25495,-97.74755
South Congress/Academy,academy/congress,South Congress & Academy,30.25226,-97.74854
South Congress/Barton Springs,barton springs/congress,South Congress & Barton Springs at the Austin American-Statesman,30.25839,-97.74592
South Congress/Elizabeth,congress/elizabeth,South Congress & Elizabeth,30.24891,-97.75019
South Congress/James,congress/james,South Congress & James,30.25103,-97.74926
South Congress/Mary,congress/mary,South Congress/Mary,30.244961,-97.751272
Veterans/Atlanta @ MoPac Ped Bridge,atlanta/veterans,,30.274475,-97.769892
W 11th/Congress @ The Texas Capitol,11/congress,Capitol Station / Congress & 11th,30.2726,-97.74127
W 16th/San Antonio ,16/san antonio,16th/San Antonio,30.27924,-97.74371
W 21st/Guadalupe,21/guadalupe,Guadalupe & 21st,30.28395,-97.74198
W 21st/University,21/university,21st & University,30.28354,-97.73953
W 22.5/Rio Grande,225/rio grande,22nd 1/2 & Rio Grande,30.2862,-97.74516
W 22nd/Pearl,22/pearl,22nd & Pearl,30.2853,-97.7467
W 23rd/San Gabriel,23/san gabriel,23rd & San Gabriel,30.2874,-97.7478
W 26th/Nueces,26/nueces,Nueces & 26th,30.29068,-97.74292
W 28th/Rio Grande,28/rio grande,Rio Grande & 28th,30.29333,-97.74412
W 2nd/Lavaca @ City Hall,2/lavaca,City Hall / Lavaca & 2nd,30.26476,-97.74678
W 3rd/Nueces,3/nueces,Nueces & 3rd,30.26697,-97.74929
W 3rd/West,3,3rd & West,30.2678,-97.75189
W 4th/Congress,4/congress,4th & Congress,30.26634,-97.74378
W 5th/Bowie,5/bowie,5th & Bowie,30.2696,-97.75332
W 5th/Campbell,5/campbell,5th & Campbell,30.27489,-97.76483
W 7th/Congress (W 6th/Congress),7/congress,,30.26822,-97.74285
W 6th/Lavaca,6/lavaca,Lavaca & 6th,30.268887,-97.745242
W 6th/West,6,West & 6th St.,30.27041,-97.75046
W 8th/Congress,8/congress,8th & Congress,30.2698,-97.74186
W 9th/Henderson,9/henderson,Henderson & 9th,30.27217,-97.75246
Zilker Park,zilker,Zilker Park,30.2659,-97.76822
30th/Whitis,30/whitis,,30.295427,-97.739347
E 5th/Shady @ Eastside Bus Plaza,5/shady,East 5th/Shady @ Eastside Bus Plaza,30.25212,-97.69807
E 7th/Pleasant Valley ,7/pleasant valley,,30.260097959013496,-97.70949592069434
E 8th/San Jacinto,8/san jacinto,San Jacinto & 8th Street,30.26912,-97.73986
E Cesar Chavez/Pleasant Valley ,cesar chavez/pleasant valley,,30.252951,-97.712467
Webberville/Neal,neal/webberville,,30.267506,-97.707997
W 4th/Guadalupe @ Republic Square,4/guadalupe,4th/Guadalupe @ Republic Square,30.267263,-97.747144
Webberville/Northwestern,northwestern/webberville,,30.263061,-97.713433
