id,active_date,name,district,total_checkouts,total_docks,trips_per_dock,trips_per_dock_day,ebs_station,checkouts_rank_per_day,transit_access_score,jobs_access_score,households_access_score,low_income_access_score,public_amenities_access_score,bike_infra_score,retail_entertainment_access_score,existing_bikeshare_access_score,total_score
36,2024-07-24,barton_springs_pool,8,2541.0,11,231.0,0.6416666666666667,0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,17.0
39,2024-11-14,barton_springs_and_azie_morton,9,2389.0,15,159.26666666666668,0.44240740740740747,1,2.0,3.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,21.0
37,2024-07-24,barton_springs_and_bouldin_at_palmer_auditorium,9,3425.0,15,228.33333333333334,0.6342592592592593,0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,22.0
38,2024-11-14,barton_springs_and_kinney,9,1982.0,11,180.1818181818182,0.5005050505050506,0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,21.0
41,2024-11-14,cesar_chavez_and_congress,9,2711.0,11,246.45454545454547,0.6845959595959596,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,20.0
42,2024-07-24,dean_keeton_and_park_place,9,2997.0,15,199.8,0.555,0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,22.0
87,2024-11-14,dean_keeton_and_robert_dedman_dr,1,2100.0,11,190.9090909090909,0.5303030303030303,0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,20.0
43,2024-07-24,dean_keeton_and_speedway,9,21964.0,23,1156.0,3.2111111111111112,0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,25.0
44,2024-07-24,dean_keeton_and_whitis,9,15820.0,19,832.6315789473684,2.3128654970760234,0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,23.0
1,2024-07-24,e_10th_and_red_river,9,1435.0,15,95.66666666666667,0.2657407407407408,0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0
3,2024-07-26,e_11th_and_salina,1,853.0,11,77.54545454545455,0.2154040404040404,0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,18.0
4,2024-11-14,e_11th_and_san_jacinto,9,645.0,11,58.63636363636363,0.16287878787878787,0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,3.0,21.0
