name,population,lat,lon
Andrews Hall,132,30.288325235174206,-97.73984908075629
Blanton Hall,270,30.288564726882182,-97.73933231525018
Carothers Hall,130,30.288643,-97.74039
Creekside Hall,190,30.2891,-97.7305
Duren Hall,588,30.2902,-97.7416
Kinsolving Hall,900,30.2899,-97.7401
Littlefield Hall,152,30.2889,-97.7401
Brackenridge Hall,130,30.2818,-97.7360
Dobie Twenty21,980,30.2835,-97.7414
Jester East Hall,1200,30.2821,-97.7363
Jester West Hall,1200,30.2825,-97.7371
Moore-Hill Hall,390,30.2831,-97.7361
Prather Hall,158,30.2821,-97.7356
Roberts Hall,145,30.2822,-97.7353
San Jacinto Hall,900,30.2817,-97.7335
