name,lat,lon,type
South Congress Bat Colony,30.2591268,-97.7463701,tourism_attraction
Santa Rita No. 1 Oil Well,30.2800247,-97.7347096,tourism_attraction
The Elephant Room,30.2656227,-97.7434984,amenity_bar
The Hideout Theater,30.2685706,-97.7422257,amenity_theatre
Starbucks,30.2682668,-97.7429695,amenity_cafe
Starbucks,30.271876,-97.7411784,amenity_cafe
Lake Austin,30.3001716,-97.7846744,tourism_attraction
PetSmart,30.1636059,-97.7909606,shop_pet
Subway,30.1638137,-97.7905315,amenity_fast_food
Twin Liquors,30.1636208,-97.7906431,shop_alcohol
La Palapa,30.3221769,-97.6932173,amenity_restaurant
Pappasitos,30.3269188,-97.704881,amenity_restaurant
Laguna Gloria Art Museum,30.3121569,-97.7743787,tourism_museum
Elisabet Ney Museum,30.3066283,-97.7262854,tourism_museum
Austin Aquadome,30.2291546,-97.7833122,shop_outdoor
Chinatown,30.3565687,-97.7473599,amenity_restaurant
Thundercloud Subs,30.2781347,-97.7720326,amenity_fast_food
Deep Eddy Cabaret,30.277787,-97.772558,amenity_pub
Austin Tri Cyclist,30.259603,-97.754585,shop_bicycle
Galaxy Cafe,30.2794133,-97.7600581,amenity_restaurant
Thundercloud Subs,30.2435659,-97.7818316,amenity_fast_food
Phoenicia Bakery & Deli,30.24346,-97.7831233,shop_bakery
Giovanni Pizza Stand,30.2437468,-97.7828277,amenity_restaurant
El Alma South (Westgate),30.2316672,-97.8001648,amenity_restaurant
Amy's Ice Creams,30.230688,-97.7998856,amenity_ice_cream
Sap's Fine Thai Cuisine,30.2314518,-97.8008555,amenity_restaurant
Starbucks,30.2026426,-97.878822,amenity_cafe
Starbucks,30.4019908,-97.7263957,amenity_cafe
Mexican grille,30.4433175,-97.6089675,amenity_restaurant
Upper Crust Bakery,30.3158003,-97.7416401,amenity_cafe
Pacha,30.3173785,-97.7406015,amenity_cafe
Blue Star Cafeteria,30.3185788,-97.7397518,amenity_restaurant
Gusto Italian Kitchen,30.3183417,-97.7399664,amenity_restaurant
The Omelettry,30.3067572,-97.7154666,amenity_restaurant
Maru Japanese,30.3179119,-97.7402411,amenity_restaurant
Billy's on Burnet Road,30.3219573,-97.7395201,amenity_pub
Fonda San Miguel,30.3255061,-97.7433739,amenity_restaurant
Phil's Icehouse,30.3321432,-97.7403073,amenity_fast_food
Amy's Ice Creams,30.332276,-97.7402973,amenity_ice_cream
KHON Thai Kitchen by Seeda,30.333489,-97.7409207,amenity_restaurant
Thom's Market,30.3349573,-97.7393304,shop_supermarket
Taqueria Guadalajara Arandas,30.341561,-97.7391639,amenity_restaurant
The Aristocrat,30.3402379,-97.73864,amenity_bar
Lala's,30.3446186,-97.736413,amenity_bar
El Mercado,30.3502257,-97.7350998,amenity_restaurant
