id,name,district,total_docks,ebs_station,trips,trips_per_dock,checkouts_rank_per_day,total_score,transit_access_score,jobs_access_score,households_access_score,low_income_access_score,public_amenities_access_score,bike_infra_score,retail_entertainment_access_score,existing_bikeshare_access_score,is_ut
15,W 28th/Rio Grande,9,7,0,23098,3299.714285714286,3.0,25.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1
10,W 22.5/Rio Grande,9,5,0,12942,2588.4,3.0,25.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1
8,E 21st/Speedway @ PCL,9,17,0,43851,2579.470588235294,3.0,24.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1
14,W 26th/Nueces,9,13,0,32920,2532.3076923076924,3.0,24.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,1
12,W 23rd/San Gabriel,9,11,0,27560,2505.4545454545455,3.0,24.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,1
7,W 21st/Guadalupe,9,11,0,21626,1966.0,3.0,25.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1
43,Dean Keeton/Speedway,9,23,0,33342,1449.6521739130435,3.0,25.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1
9,W 21st/University,9,19,0,25314,1332.3157894736842,3.0,25.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,1
55,Guadalupe/West Mall @ University Co-op,9,15,0,18674,1244.9333333333334,3.0,25.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1
44,Dean Keeton/Whitis,9,19,0,23152,1218.5263157894738,3.0,23.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1
11,W 22nd/Pearl,9,23,0,24429,1062.1304347826087,3.0,25.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1
63,Rainey/Cummings	,9,19,0,15205,800.2631578947369,3.0,24.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,0
20,W 3rd/West,9,11,0,7381,671.0,2.0,22.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,0
18,W 3rd/Nueces,9,11,0,6744,613.0909090909091,2.0,21.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,0
66,Riverside/South Lamar,9,19,0,11065,582.3684210526316,3.0,25.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0
51,E 6th/Medina,3,11,0,6294,572.1818181818181,2.0,21.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,0
60,Nash Hernandez/East @ RBJ South,3,11,0,6263,569.3636363636364,2.0,23.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,0
62,Plaza Saltillo	,3,15,0,7542,502.8,2.0,21.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,0
