name,lat,lon,type
barton_springs_pool,30.26452,-97.7712,bike
barton_springs_and_azie_morton,30.261881964956064,-97.76897665654796,bike
barton_springs_and_bouldin_at_palmer_auditorium,30.25966,-97.753445,bike
barton_springs_and_kinney,30.262,-97.76118,bike
cesar_chavez_and_congress,30.26332,-97.74508,bike
dean_keeton_and_park_place,30.28931,-97.733037,bike
dean_keeton_and_robert_dedman_dr,30.28785,-97.728541,bike
dean_keeton_and_speedway,30.28953,-97.73695,bike
dean_keeton_and_whitis,30.2898,-97.74041,bike
e_10th_and_red_river,30.27024,-97.73578,bike
e_11th_and_salina,30.26638,-97.7214,bike
e_11th_and_san_jacinto,30.27193,-97.73854,bike
e_11th_and_san_marcos,30.26968,-97.73074,bike
e_11th_and_waller,30.26899800040119,-97.72843433423913,bike
e_12th_and_san_jacinto_at_state_cap_visitors_garage,30.273499,-97.738097,bike
e_13th_and_trinity_at_waterloo_greenway,30.2741,-97.73666,bike
e_21st_and_speedway_at_pcl,30.283,-97.7375,bike
e_23rd_and_san_jacinto_at_dkr_stadium,30.2856,-97.7335,bike
e_2nd_and_congress,30.26408,-97.74355,bike
e_2nd_and_pedernales,30.25542,-97.71665,bike
e_4th_and_chicon,30.25987,-97.72373,bike
e_5th_and_neches_at_downtown_station,30.265843991099903,-97.73891781267967,bike
e_5th_and_broadway,30.2563,-97.71007,bike
e_6th_and_chalmers,30.26269,-97.72438,bike
e_6th_and_chicon,30.259718,-97.723198,bike
e_6th_and_medina,30.26455,-97.73165,bike
e_6th_and_pedernales,30.25895,-97.71475,bike
e_8th_and_lavaca,30.27059,-97.74441,bike
e_8th_and_red_river,30.26854,-97.73646,bike
e_8th_and_trinity,30.26895625697814,-97.7386856328997,bike
electric_drive_at_pfluger_ped_bridge,30.267064,-97.75482,bike
guadalupe_and_west_mall_at_university_co-op,30.285664,-97.741792,bike
hollow_creek_and_barton_hills,30.26139,-97.77234,bike
lake_austin_blvd_and_deep_eddy,30.27807,-97.77272,bike
lakeshore_and_lady_bird_ln.,30.24478312140979,-97.72319224423872,bike
lakeshore_and_pleasant_valley,30.24258,-97.71726,bike
nash_hernandez_and_east_at_rbj_south,30.252,-97.7346,bike
one_texas_center,30.257653,-97.74898,bike
plaza_saltillo,30.26217,-97.72743,bike
rainey_and_cummings,30.255906,-97.739949,bike
rainey_and_driskill,30.260814,-97.738086,bike
riverside_and_south_lamar,30.26446,-97.75665,bike
rosewood_and_angelina,30.26888,-97.72431,bike
s_1st_and_riverside_at_long_center,30.259384,-97.749726,bike
south_congress_at_bouldin_creek,30.25495,-97.74755,bike
south_congress_and_academy,30.25226,-97.74854,bike
south_congress_and_barton_springs,30.25839,-97.74592,bike
south_congress_and_elizabeth,30.24891,-97.75019,bike
south_congress_and_james,30.25103,-97.74926,bike
south_congress_and_mary,30.244961,-97.751272,bike
veterans_and_atlanta_at_mopac_ped_bridge,30.274475,-97.769892,bike
w_11th_and_congress_at_the_texas_capitol,30.2726,-97.74127,bike
w_16th_and_san_antonio,30.27924,-97.74371,bike
w_21st_and_guadalupe,30.28395,-97.74198,bike
w_21st_and_university,30.28354,-97.73953,bike
w_22.5_and_rio_grande,30.2862,-97.74516,bike
