name,docks,bikeable_infrastructure,trips,lat,lon,trips_per_dock,nearest_dining_hall_m,nearest_amenity_m,nearest_park_m,count_amenities_275m,avg_dist_3_amenities_m,park_area_within_275m,park_area_within_550m,age,income,population,undergrad,grad,undergrad_percentage,grad_percentage,north_campus_area_within_275m,north_campus_area_within_550m,west_campus_area_within_275m,west_campus_area_within_550m,west_campus_area_within_825m,distance_to_ut_m,distance_to_west_campus_m,jobs_count_within_275m,jobs_count_within_550m,nearest_retail_m,count_retail_275m,count_retail_550m,avg_dist_3_retail_m
barton_springs_pool,11,2.0,3613,30.2645,-97.771359,328.45454545454544,3903.249200521708,48.26819194418196,0.0,4,142.8714523701296,234168.3086871573,743414.1432924796,34.4,62031.0,869.0,25.0,25.0,0.0287686996547756,0.0287686996547756,0.0,0.0,0.0,0.0,0.0,3427.165042878604,2820.582363094466,1,6,104.7378749632216,3,8,148.1932706100324
barton_springs_bouldin_at_palmer_auditorium,15,3.0,5037,30.25966,-97.753445,335.8,3047.3835877146603,201.12366467634308,4.855305320165165,3,219.20708053595013,114251.69965427493,332825.0294943096,35.8,124453.0,1245.0,7.0,26.0,0.0056224899598393,0.0208835341365461,0.0,0.0,0.0,0.0,0.0,2421.175062407662,2660.7962540752865,4,13,109.67426070296668,6,18,144.4504984850422
barton_springs_kinney,11,3.0,2774,30.261928,-97.761131,252.1818181818182,3307.996950590052,99.76573751421584,271.38915354077795,11,113.98483407087494,194.525127809501,216223.5215870312,35.3,148333.0,1469.0,0.0,51.0,0.0,0.034717494894486,0.0,0.0,0.0,0.0,0.0,2807.2874082350395,2562.7464109239377,6,20,24.118738747793397,22,40,55.54168313423013
cesar_chavez_congress,11,3.0,3695,30.263344,-97.745094,335.90909090909093,2325.9156665688874,90.33029986958014,0.0,8,94.44683943482585,21829.559363945424,105804.9077199874,37.0,155363.0,758.0,0.0,31.0,0.0,0.0408970976253298,0.0,0.0,0.0,0.0,0.0,1624.7639523634143,2033.7293179219048,7,35,74.880254066336,48,165,107.64289096632436
dean_keeton_park_place,15,3.0,4333,30.28931,-97.733037,288.8666666666667,661.1404201267859,103.69653474356258,17.800355865538982,5,142.26492281602188,30366.15126224547,38498.21735663357,23.7,59138.0,865.0,421.0,98.0,0.4867052023121387,0.1132947976878612,120455.05360384582,461330.1302479703,0.0,0.0,2178.20729658404,5.440608778068863,812.6156085893005,4,16,267.70633853292134,1,19,284.88793991994464
dean_keeton_robert_dedman_dr,11,3.0,3476,30.28785,-97.728541,316.0,959.8451320773866,183.67845225609312,274.2696153768364,4,215.14706814037143,0.3789157602378248,38498.21735663357,23.7,59138.0,865.0,421.0,98.0,0.4867052023121387,0.1132947976878612,77501.0647629435,259739.1095180291,0.0,0.0,0.0,0.0,1159.334265700336,5,19,58.08851129609195,7,15,132.11050365093024
dean_keeton_speedway,23,3.0,33342,30.28951,-97.736535,1449.6521739130435,330.9489922717962,168.95117564802473,327.6992699993195,1,283.99905897650586,0.0,28419.29763058712,19.4,10625.0,8288.0,8191.0,89.0,0.988296332046332,0.0107384169884169,70097.74784530554,357924.07542619994,0.0,27613.72694958897,319717.42155933654,0.0,475.4350068747745,1,19,230.80585820131947,2,26,259.60508239575137
dean_keeton_whitis,19,3.0,23152,30.289822,-97.740468,1218.5263157894738,101.21577131480836,188.48389709160145,458.3516920574011,5,204.3734961554971,0.0,8517.836663472077,19.4,10625.0,8288.0,8191.0,89.0,0.988296332046332,0.0107384169884169,10210.362470364416,210093.29996027265,67081.19866559499,354328.1575549054,875174.6301599732,0.0,95.71471189131935,8,33,111.49668332362788,18,47,113.32516811870613
e_10th_red_river,15,2.0,2239,30.270155,-97.735364,149.26666666666668,1435.375000348106,59.76108066734926,8.586582389103596,4,102.3054280103505,11630.955274196807,54789.38133149058,45.2,114115.0,906.0,60.0,0.0,0.0662251655629139,0.0,0.0,0.0,0.0,0.0,0.0,596.1309319508719,1290.3562993408973,11,46,61.92404058208631,17,97,77.9080206950184
e_11th_salina,11,2.0,1332,30.266422,-97.721623,121.0909090909091,2351.22315642002,85.83062981048752,124.59275847322056,3,150.94598392047013,2615.1902020661487,64144.91868597175,27.7,110069.0,1531.0,409.0,159.0,0.2671456564337034,0.1038536903984324,0.0,0.0,0.0,0.0,0.0,1348.422758791782,2394.515521859896,7,25,168.74185971247508,2,48,242.00303153499846
