count,lat,lon
542,30.32326,-97.7477495
605,30.3289062,-97.756538
431,30.3151008,-97.7513886
1010,30.3119231,-97.7536549
710,30.3342867,-97.7695659
311,30.3191841,-97.7637484
248,30.3080669,-97.7379856
998,30.3166404,-97.7355011
575,30.3003039,-97.7429433
459,30.3135477,-97.7457495
363,30.3071855,-97.7445644
504,30.3304798,-97.7364481
796,30.3234058,-97.7374378
386,30.3202581,-97.7314608
1113,30.3258666,-97.7308018
479,30.3202581,-97.7435341
469,30.3313364,-97.7449009
808,30.3280186,-97.7412785
348,30.299731,-97.7195388
698,30.303463,-97.7235799
724,30.3017976,-97.7277873
910,30.3075157,-97.7321039
680,30.3034546,-97.7346888
699,30.3082259,-97.714499
901,30.3105055,-97.7192952
704,30.312085,-97.7234539
577,30.3138371,-97.7287094
621,30.3190733,-97.7256729
887,30.2970325,-97.7125652
1552,30.2961202,-97.6944443
923,30.2945494,-97.7029865
303,30.289294,-97.7032871
1668,30.3020804,-97.7059301
619,30.2885489,-97.7200794
1335,30.2933071,-97.7248275
370,30.2855617,-97.7297581
1012,30.2876972,-97.7122116
401,30.2836184,-97.7100419
458,30.2816518,-97.7219621
936,30.2985208,-97.7378186
559,30.2975252,-97.7329994
647,30.2939335,-97.7350124
334,30.2935354,-97.7308719
454,30.2937354,-97.7396449
24,30.2860516,-97.7376998
633,30.2968138,-97.748605
463,30.2893042,-97.7496601
826,30.2918779,-97.7485471
198,30.2943811,-97.74318
613,30.2919097,-97.7427939
441,30.2894014,-97.746111
440,30.2891904,-97.7429845
603,30.2858433,-97.7510816
508,30.2867081,-97.7463836
356,30.2842227,-97.746558
790,30.2864722,-97.7432417
654,30.2836545,-97.7434434
815,30.2777004,-97.7411232
942,30.2669322,-97.7014639
701,30.2786949,-97.7058611
559,30.274356,-97.7038305
257,30.2700814,-97.7111778
1262,30.278278,-97.7131038
307,30.2771064,-97.7185926
517,30.2757418,-97.7259909
545,30.2696968,-97.7174616
639,30.2703213,-97.7245579
712,30.2639172,-97.7172216
759,30.2664785,-97.7273353
784,30.2609284,-97.7067363
1122,30.2570243,-97.7106188
966,30.2568324,-97.7178294
1641,30.2619393,-97.7293714
295,30.2579877,-97.7339922
236,30.2564141,-97.7280837
370,30.2527922,-97.716717
245,30.2505103,-97.7208292
338,30.253259,-97.7333118
309,30.2696516,-97.7375527
573,30.2723402,-97.7466337
1500,30.2684664,-97.7492191
687,30.266609,-97.7450234
565,30.2649737,-97.7483854
1901,30.2590809,-97.73992
925,30.2646001,-97.7396453
598,30.2745143,-97.7577556
545,30.2760573,-97.7550409
629,30.2792534,-97.7638158
2318,30.2678356,-97.7544259
420,30.270168,-97.7598134
889,30.2432154,-97.7739904
469,30.2543893,-97.7723068
298,30.2504764,-97.7773945
421,30.2495826,-97.7704511
830,30.2310665,-97.7712704
447,30.2419411,-97.7652834
1093,30.2373993,-97.7683911
1056,30.2276787,-97.7650543
307,30.2387552,-97.7578847
414,30.2336556,-97.7611383
1010,30.2651797,-97.7605954
557,30.2590909,-97.7673313
860,30.2588747,-97.7609476
1158,30.2546801,-97.7649644
644,30.253134,-97.7633395
993,30.2582419,-97.7524205
523,30.2460782,-97.7620349
1121,30.2452677,-97.7539204
717,30.2532837,-97.7582224
572,30.2451057,-97.7478799
428,30.2572229,-97.7446876
662,30.2518448,-97.7453374
312,30.2464417,-97.7395444
343,30.2431726,-97.7435354
651,30.2387313,-97.7408358
437,30.2363404,-97.7371275
424,30.2429489,-97.7333201
542,30.3535575,-97.7361693
874,30.3434565,-97.7489245
277,30.3551472,-97.7427757
638,30.342315,-97.7425532
1033,30.3200145,-97.719512
216,30.3355469,-97.7153918
946,30.3278956,-97.7196904
1159,30.3281841,-97.7106612
1614,30.3455683,-97.7184735
439,30.3428188,-97.7228248
478,30.3510548,-97.7281022
654,30.3455555,-97.7307654
406,30.3353845,-97.7348826
888,30.340576,-97.7331831
532,30.3365973,-97.7246132
624,30.331548,-97.7268225
552,30.2900812,-97.7782019
512,30.282723,-97.7692115
430,30.2844792,-97.7803279
301,30.3022305,-97.7517021
464,30.3050217,-97.7556922
167,30.2968156,-97.7525856
285,30.2932096,-97.7550104
534,30.2976137,-97.7626199
589,30.2992975,-97.7824293
241,30.3087824,-97.7679767
366,30.3026924,-97.7715088
515,30.2951537,-97.7728125
1070,30.291025,-97.7660167
430,30.2872384,-97.7593565
342,30.282437,-97.754079
676,30.2822969,-97.7597566
31,30.3056732,-97.7608291
416,30.2888801,-97.793555
444,30.2676259,-97.8127632
811,30.2595416,-97.8017714
297,30.2680866,-97.7978191
686,30.2499194,-97.7969387
687,30.2585241,-97.7909024
581,30.2658389,-97.7751242
1395,30.3220747,-97.8279266
350,30.3356906,-97.7913994
1038,30.3185118,-97.8071485
752,30.3103592,-97.7897504
484,30.247825,-97.8260227
505,30.2471097,-97.835392
656,30.2513378,-97.8428626
861,30.2622302,-97.8440825
492,30.2446451,-97.8190526
1883,30.2405635,-97.8366971
782,30.3051275,-97.8926604
243,30.3041386,-97.8520034
412,30.2787518,-97.8374308
409,30.2644731,-97.8194467
696,30.2872347,-97.8388146
222,30.2998867,-97.8009244
195,30.2856769,-97.8166258
