GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUUDE001,AUUDE002,AUUDE003,NAME_M,AUUDM001,AUUDM002,AUUDM003
"G48000109501001","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950100","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019501001",,,"480019501001","Block Group 1, Census Tract 9501, Anderson County, Texas",660,578,82,"Block Group 1, Census Tract 9501, Anderson County, Texas",171,160,51
"G48000109501002","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950100","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480019501002",,,"480019501002","Block Group 2, Census Tract 9501, Anderson County, Texas",989,898,91,"Block Group 2, Census Tract 9501, Anderson County, Texas",202,219,76
"G48000109501003","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950100","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480019501003",,,"480019501003","Block Group 3, Census Tract 9501, Anderson County, Texas",626,544,82,"Block Group 3, Census Tract 9501, Anderson County, Texas",174,167,52
"G48000109504011","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950401","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019504011",,,"480019504011","Block Group 1, Census Tract 9504.01, Anderson County, Texas",67,48,19,"Block Group 1, Census Tract 9504.01, Anderson County, Texas",51,45,21
"G48000109504021","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950402","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019504021",,,"480019504021","Block Group 1, Census Tract 9504.02, Anderson County, Texas",0,0,0,"Block Group 1, Census Tract 9504.02, Anderson County, Texas",21,21,21
"G48000109505001","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950500","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019505001",,,"480019505001","Block Group 1, Census Tract 9505, Anderson County, Texas",165,165,0,"Block Group 1, Census Tract 9505, Anderson County, Texas",58,58,15
"G48000109505002","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950500","2",,,,,,,,,,,,,,,,,,,,,,"1500000US480019505002",,,"480019505002","Block Group 2, Census Tract 9505, Anderson County, Texas",176,176,0,"Block Group 2, Census Tract 9505, Anderson County, Texas",82,82,15
"G48000109505003","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950500","3",,,,,,,,,,,,,,,,,,,,,,"1500000US480019505003",,,"480019505003","Block Group 3, Census Tract 9505, Anderson County, Texas",639,527,112,"Block Group 3, Census Tract 9505, Anderson County, Texas",177,177,86
"G48000109505004","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950500","4",,,,,,,,,,,,,,,,,,,,,,"1500000US480019505004",,,"480019505004","Block Group 4, Census Tract 9505, Anderson County, Texas",647,580,67,"Block Group 4, Census Tract 9505, Anderson County, Texas",170,143,80
"G48000109506001","2020-2024","TX",,,"Texas","48","Anderson County","001",,,"950600","1",,,,,,,,,,,,,,,,,,,,,,"1500000US480019506001",,,"480019506001","Block Group 1, Census Tract 9506, Anderson County, Texas",663,663,0,"Block Group 1, Census Tract 9506, Anderson County, Texas",317,317,15
