"Pool Name","Status","Open Date","Weekday","Weekend","Closure Days","Pool Type","Phone","Location 1","Website"
"Baily Splashpad","Closed","2025 May 01 12:00:00 AM","Closed for Season","Closed for Season",,"Splash Pad","512-974-9331","1201 W 33rd St Austin TX  (30.302605251000045, -97.74689354299994)","Bailey Splash Pad (http://www.austintexas.gov/department/bailey-splash-pad)"
"Brentwood","Closed","2025 Jun 02 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-453-1725","6710 Arroyo Seco Austin TX  (30.340441576000046, -97.73037097399998)","Brentwood Pool (http://www.austintexas.gov/department/brentwood-pool)"
"Colony Park","Open","2025 May 17 12:00:00 AM","12:15PM-8:00PM","12:00PM-7:00PM","None","Community","512-974-1236","7400 Loyola Ln Austin TX  (30.2977969, -97.6417013)","http://www.austintexas.gov/department/colony-park-pool"
"Stacy Wading","Closed","2025 Jun 09 12:00:00 AM","Closed for Season","Closed for Season",,"Wading","512-693-2174","1401 Sunset Lane Austin TX  (30.241312486000027, -97.74557365799996)","Little Stacy Wading Pool (http://www.austintexas.gov/department/little-stacy-wading-pool)"
"Mabel Davis","Closed","2025 May 17 12:00:00 AM","Closed for Season","Closed for Season",,"Regional","512-441-5247","3427 Parker Lane Austin TX  (30.22025858300003, -97.74271075999997)","Mabel Davis (http://www.austintexas.gov/department/mabel-davis-pool)"
"Rosewood","Closed","2025 May 30 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-473-8469","2300 Rosewood Ave Austin TX  (30.271339, -97.713836)","Rosewood Pool (http://www.austintexas.gov/department/rosewood-pool)"
"Martin","Closed","2025 Jun 02 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-469-0948","1626 Nash Hernandez Sr Dr Austin TX  (30.250938086000076, -97.73110151999998)","Martin Pool (http://www.austintexas.gov/department/martin-pool)"
"Dottie Jordan","Closed","2025 Jun 02 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-928-3721","2803 Loyola Ln Austin TX  (30.314319348000026, -97.67341137899996)","Dottie Jordan Pool (http://www.austintexas.gov/department/dottie-jordan-pool)"
"Govalle","Closed","2025 Jun 02 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-974-1255","5200 Bolm Rd Austin TX  (30.258835826000052, -97.69156788399994)","Govalle Pool (http://www.austintexas.gov/department/gillis-pool)"
"Murchison","Closed","2025 Jun 02 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-241-0618","7022 Hart Ln Austin TX  (30.35336556900006, -97.75870788799995)","Murchison Pool (http://www.austintexas.gov/department/murchison-pool)"
"Balcones","Closed","2025 May 30 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-821-2053","12017 Amherst Dr Austin TX  (30.41340406100005, -97.72085543099996)","http://www.austintexas.gov/department/balcones-pool"
"Canyon Vista","Closed","2025 Jun 07 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-996-8038","8455 Spicewood Springs Austin TX  (30.427132347000054, -97.78468953899994)","Canyon Vista Pool website (http://www.austintexas.gov/department/canyon-vista-pool)"
"Montopolis","Closed",,"Closed for Rebuild","Closed for Rebuild",,"Neighborhood","512-389-6022","1200 Montopolis Dr Austin TX  (30.231947330000025, -97.69905656299994)","Montopolis Pool (http://www.austintexas.gov/department/montopolis-pool)"
"Rosewood Splashpad","Closed","2025 May 01 12:00:00 AM","Closed for Season","Closed for Season",,"Splash Pad","512-974-9331","2300 Rosewood Ave Austin TX  (30.271339, -97.713836)","Rosewood Splash Pad (http://www.austintexas.gov/department/rosewood-splash-pad)"
"Kennemer","Closed","2025 Jun 09 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-821-2454","200 Dawson Rd Austin TX  (30.36075515300007, -97.70649799899996)","Kennemer Pool (http://www.austintexas.gov/department/kennemer-pool)"
"Pease Splashpad","Operated by Pease Park Conservancy",,,,,"Splash Pad","512-974-9331","1100 Kingsbury St Austin TX  (30.28291173100007, -97.75437819199999)","Pease Splash Pad (http://www.austintexas.gov/department/pease-splash-pad)"
"Clarksville Splashpad","Closed","2025 May 01 12:00:00 AM","Closed for Season","Closed for Season",,"Splash Pad","512-974-9331","1811 W 11th St Austin TX  (30.282105005000062, -97.76410287199997)","Clarksville Splash Pad (http://www.austintexas.gov/department/clarksville-splash-pad)"
"Dittmar","Closed","2025 Jun 07 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-693-4698","1009 W Dittmar Dr Austin TX  (30.185743134000063, -97.80106115899997)","Dittmar Pool (http://www.austintexas.gov/department/dittmar-pool)"
"Stacy","Open","2023 Oct 01 12:00:00 AM","6:00AM-8:00PM","12:00PM-7:00PM","None","Neighborhood","512-445-0304","700 E Live Oak St Austin TX  (30.239596177000067, -97.74730836399999)","http://austintexas.gov/department/big-stacy-pool"
"Bartholomew","Open","2023 Oct 01 12:00:00 AM","12:15PM-8:00PM","12:00PM-7:00PM","None","Regional","512-974-1650","1800 E 51st St Austin TX  (30.302395535000073, -97.69739842999996)","http://www.austintexas.gov/department/bartholomew-pool"
"Patterson","Closed","2025 Jun 02 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-542-9685","4200 Brookview Dr Austin TX  (30.296592644000043, -97.71400165799997)","Patterson Pool (http://www.austintexas.gov/department/patterson-pool)"
"Ramsey","Closed","2025 Jun 07 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-380-9131","4201 Burnet Rd Austin TX  (30.31187897700005, -97.74379847899996)","http://www.austintexas.gov/department/ramsey-pool"
"Westenfield","Closed","2025 Jun 07 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-474-2682","2000 Enfield Rd Austin TX  (30.286483287000067, -97.76496863899996)","Westenfield website (http://www.austintexas.gov/department/westenfield-pool)"
"Garrison","Closed","2025 Apr 28 12:00:00 AM","Closed for Season","Closed for Season",,"Regional","512-442-4048","6001 Menchaca Rd Austin TX  (30.212930071000073, -97.80184931899998)","http://www.austintexas.gov/department/garrison-pool"
"Liz Carpenter Splashpad","Open","2023 Oct 01 12:00:00 AM","10:00AM-10:00PM","10:00AM-10:00PM","None","Splash Pad","512-974-9331","200 Dawson Rd Austin TX  (30.260196671000074, -97.75523145399995)","http://austintexas.gov/department/liz-carpenter-fountain"
"West Austin","Closed","2025 Jun 09 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","5512-236-1303","1317 W 10th St Austin TX  (30.27739562900007, -97.75705321199996)","West Austin Pool (http://www.austintexas.gov/department/west-austin-pool)"
"Metz Splashpad","Closed","2025 May 01 12:00:00 AM","Closed for Season","Closed for Season",,"Splash Pad","512-974-9331","2407 Canterbury St Austin TX  (30.252683793000074, -97.71813028399998)","Metz Splash Pad (http://www.austintexas.gov/department/metz-splash-pad)"
"Dick Nichols","Closed","2025 May 30 12:00:00 AM","Closed for Season","Closed for Season",,"Community","512-899-0348","8011 Beckett Rd Austin TX  (30.21486475200004, -97.86331548799996)","Dick Nichols Pool (http://www.austintexas.gov/department/dick-nichols-pool)"
"Chestnut Splashpad","Closed","2025 May 01 12:00:00 AM","Closed for Season","Closed for Season",,"Splash Pad","512-974-9331","2205 E 16th St Austin TX  (30.27750823100007, -97.73795600299997)","Chestnut Splash Pad (http://www.austintexas.gov/department/bailey-splash-pad)"
"Shipe","Closed","2025 Jun 07 12:00:00 AM","Closed for Season","Closed for Season",,"Neighborhood","512-974-1245","4400 Ave G Austin TX  (30.306847952000055, -97.72711577799998)","Shipe Pool (http://www.austintexas.gov/department/shipe-pool)"
"Bartholomew Splashpad","Closed","2025 May 01 12:00:00 AM","Closed for Season","Closed for Season",,"Splash Pad","512-974-9331","5201 Berkman Dr Austin TX  (30.305630359000077, -97.69783935199996)","Bartholomew Splash Pad (http://www.austintexas.gov/department/bartholomew-splash-pad)"
