id,Active Date,name,Districts,total Checkouts,total Docks,trips per dock,trips per dock/day,EBS STATION,Checkouts Rankings; per day >5=3; 2-5=2; <1=1 ,Co-locate to Transit (at transit =3; <1/4 mi = 2; >1/4 mi = 1),Access to Jobs (Major employment hubs)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to Households  (1/4 mi = 3; 1/2 mi = 2;  >1/2 = 1),Access to low income residents (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),"Access to Public amenities (libraries, schools, Rec Centers, parks)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1)",Bikeable infrastructure (rider saftey)  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to retail or entertainment  (1/4 mi = 3; 1/2 mi = 2; >1/2 = 1),Access to existing Bikeshare footprint - 1/4 mi = 3; 1/2 mi = 2; >1/2 = 1,Total Score,name_clean,Kiosk ID,Kiosk Name,Kiosk Status,Location,Address,Alternate Name,City Asset Number,Property Type,Number of Docks,Power Type,Footprint Length,Footprint Width,Notes,Council District,Image,Modified Date,lat,lon,on_UT
36.0,2024-07-24,Barton Springs Pool,8.0,2541.0,11,231.0,0.6416666666666667,,1.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,17.0,barton springs pool,2572.0,Barton Springs Pool,active,"(30.26452, -97.7712)",2200 William Barton Dr.,,"16,758",parkland,13.0,solar,40.0,5.0,,8.0,,2021 Jan 04 12:00:00 AM,30.26452,-97.7712,0
39.0,2024-11-14,Barton Springs/Azie Morton,9.0,2389.0,15,159.26666666666668,0.44240740740740747,✓,2.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,20.0,azie morton/barton springs,,,,,,,,,,,,,,,,,30.261881964956064,-97.76897665654796,0
37.0,2024-07-24,Barton Springs/Bouldin@ Palmer Auditorium,9.0,3425.0,15,228.33333333333334,0.6342592592592593,,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,22.0,barton springs/bouldin,,,,,,,,,,,,,,,,,30.25966,-97.753445,0
38.0,2024-11-14,Barton Springs/Kinney,9.0,1982.0,11,180.1818181818182,0.5005050505050506,,1.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,21.0,barton springs/kinney,2711.0,Barton Springs @ Kinney Ave,active,"(30.262, -97.76118)",1530 Barton Springs Road,,"16,599",sidewalk,16.0,solar,30.0,7.5,2-sided station on pad adjacent to sidewalk in ROW/easement,5.0,,2021 Jan 04 12:00:00 AM,30.262,-97.76118,0
41.0,2024-11-14,Cesar Chavez/Congress,9.0,2711.0,11,246.45454545454547,0.6845959595959596,,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,20.0,cesar chavez/congress,3684.0,Congress & Cesar Chavez,active,"(30.26332, -97.74508)",124 W Cesar Chavez St,,"32,594",parkland,11.0,solar,35.0,5.0,parkland at ROW/easement,9.0,,2021 Jan 04 12:00:00 AM,30.26332,-97.74508,0
42.0,2024-07-24,Dean Keeton/Park Place,9.0,2997.0,15,199.8,0.555,,2.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,22.0,dean keeton/place,,,,,,,,,,,,,,,,,30.28931,-97.733037,1
87.0,2024-11-14,Dean Keeton/Robert Dedman Dr,1.0,2100.0,11,190.9090909090909,0.5303030303030303,,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,20.0,dean keeton/robert dedman,,,,,,,,,,,,,,,,,30.28785,-97.728541,1
43.0,2024-07-24,Dean Keeton/Speedway,9.0,21964.0,23,1156.0,3.2111111111111112,,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,25.0,dean keeton/speedway,3794.0,Dean Keeton & Speedway,active,"(30.28953, -97.73695)",180 E. Dean Keeton St.,,"32,670",undetermined_parking,19.0,solar,55.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.28953,-97.73695,1
44.0,2024-07-24,Dean Keeton/Whitis,9.0,15820.0,19,832.6315789473684,2.3128654970760234,,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,23.0,dean keeton/whitis,3795.0,Dean Keeton & Whitis,active,"(30.2898, -97.74041)",300 W. Dean Keeton St.,,"32,671",undetermined_parking,19.0,solar,55.0,5.0,,9.0,,2021 Jan 04 12:00:00 AM,30.2898,-97.74041,1
1.0,2024-07-24,E 10th/Red River,9.0,1435.0,15,95.66666666666667,0.2657407407407408,,1.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,19.0,10/red river,4051.0,10th & Red River,active,"(30.27024, -97.73578)",699 East 10th Street,,"32,686",paid_parking,13.0,solar,40.0,5.0,,1.0,,2021 Jan 04 12:00:00 AM,30.27024,-97.73578,0
