job_count,lat,lon
40,30.3342081,-97.7550031
55,30.3360654,-97.7551967
4,30.3260626,-97.7473479
99,30.3263695,-97.7490746
11,30.32145,-97.748465
16,30.3235061,-97.7476448
1,30.3215526,-97.7470303
13,30.3250453,-97.7477445
13,30.3226957,-97.7515211
19,30.3213775,-97.7503025
2,30.3217821,-97.7510708
1858,30.3341354,-97.757301
3,30.3287455,-97.7567727
18,30.3313563,-97.7581187
148,30.3310642,-97.7608844
20,30.3232655,-97.7553955
2,30.3266843,-97.7545411
5,30.3276666,-97.7516383
49,30.3275993,-97.7503419
3,30.3265084,-97.7504491
1,30.3262161,-97.7518638
1,30.326315,-97.7536419
1,30.3236004,-97.7541141
2,30.3301313,-97.7587065
12,30.3283673,-97.7594445
1,30.3288178,-97.7616673
5,30.3220728,-97.7531793
418,30.3158865,-97.751602
1,30.3106673,-97.7513
8,30.3131525,-97.7507908
3,30.3124218,-97.7501851
1221,30.3190481,-97.7551523
15,30.3156536,-97.7546531
4,30.3147739,-97.7544844
2,30.3138635,-97.7542534
1,30.3129799,-97.7543109
4,30.3106726,-97.7528834
186,30.3091875,-97.7551707
1,30.3097273,-97.7531913
438,30.3090774,-97.7516715
216,30.3082233,-97.7507113
41,30.3076751,-97.7498586
365,30.3061667,-97.748608
7,30.3069256,-97.7499525
40,30.3085691,-97.7535603
43,30.3342867,-97.7695659
10,30.3371659,-97.761226
8,30.3385316,-97.7630676
2,30.3387885,-97.7614745
2,30.3359299,-97.7654873
18,30.3271185,-97.7691935
2,30.3252943,-97.7721194
2,30.3316974,-97.7637394
9,30.339333,-97.7606215
1,30.3311438,-97.7784123
220,30.3271517,-97.7766705
655,30.335617,-97.7604925
216,30.3371171,-97.7581754
2,30.3275524,-97.7684382
3,30.326934,-97.764491
5,30.3237859,-97.7682668
3,30.3168804,-97.7658035
21,30.3265615,-97.7600738
7,30.3216893,-97.7697978
19,30.318297,-97.7715033
2,30.316221,-97.7701171
1,30.3209509,-97.7689493
5,30.3170507,-97.7677192
1,30.3181432,-97.7682449
3285,30.3096278,-97.7581813
5621,30.3078368,-97.7384521
4657,30.3205794,-97.734322
6102,30.3172803,-97.7339155
7,30.318621,-97.732427
472,30.3174408,-97.73655
83,30.313692,-97.7358315
53,30.3157898,-97.7329468
507,30.31509,-97.7345894
216,30.3124938,-97.7336957
704,30.3044315,-97.7424868
50,30.3031776,-97.7432905
344,30.302736,-97.741386
15,30.303037,-97.7397799
154,30.3026415,-97.73896
31,30.3021458,-97.7396011
286,30.3017196,-97.7398506
105,30.301131,-97.7402215
7,30.3005204,-97.7406213
7,30.3006718,-97.7420433
18,30.3009468,-97.7427266
1,30.3013632,-97.7435626
58,30.3018486,-97.7445808
1,30.3007569,-97.7455866
1,30.2997641,-97.7434752
52,30.299082,-97.7415413
27,30.299894,-97.7410067
96,30.2976126,-97.7422629
43,30.2994081,-97.7454206
18,30.2987943,-97.7457832
259,30.298063,-97.7466599
4,30.2974845,-97.7453654
105,30.2969851,-97.7443631
70,30.2966859,-97.7437409
5,30.2967609,-97.7430186
151,30.2961529,-97.742938
2,30.3147773,-97.7481841
6,30.3149173,-97.7468782
11,30.3139207,-97.7465811
28,30.3162044,-97.7451289
3,30.3153431,-97.743362
134,30.3149081,-97.7424686
8,30.3142723,-97.742089
424,30.3127246,-97.7426841
1,30.3141167,-97.7441459
1,30.3145562,-97.7450209
1,30.3149863,-97.7458957
12,30.3130317,-97.7448481
1,30.3119573,-97.7455425
2,30.3124038,-97.7464363
7,30.3113085,-97.7471382
2,30.3108679,-97.7462448
15,30.310429,-97.7453745
12,30.311516,-97.7446704
4,30.3105744,-97.7441834
70,30.3098581,-97.7432915
25,30.3144739,-97.7413982
1,30.3139729,-97.7405657
1,30.3135478,-97.7396692
112,30.3130662,-97.7386345
191,30.3118218,-97.7394585
5,30.3127164,-97.7413639
72,30.3131356,-97.7419479
30,30.3116687,-97.7420078
33,30.3111976,-97.7411513
261,30.3107336,-97.7401871
68,30.3096882,-97.7409098
297,30.310289,-97.7420155
275,30.3091572,-97.7423687
198,30.3086414,-97.7416012
102,30.3077237,-97.7421812
23,30.3083105,-97.7434397
2,30.3092063,-97.7452677
3,30.3102358,-97.7474434
24,30.3084819,-97.7470945
1,30.3076806,-97.7454687
51,30.307547,-97.7439259
145,30.3069355,-97.7426814
1571,30.3059949,-97.7432929
348,30.3066474,-97.7446708
9046,30.3050983,-97.7463122
798,30.3049503,-97.7438633
5,30.3040167,-97.7443899
25,30.3032633,-97.7448871
49,30.3021226,-97.7457537
407,30.3030449,-97.7465741
208,30.3029335,-97.7481498
14,30.3011082,-97.748287
61,30.3009994,-97.7466815
418,30.3327301,-97.7393713
98,30.3330799,-97.7373354
23,30.3302149,-97.7374847
318,30.3308502,-97.7386072
45,30.3323488,-97.7353852
22,30.3298316,-97.736189
1,30.3292186,-97.7353892
4,30.3284485,-97.7350498
57,30.3314074,-97.7336005
50,30.3305472,-97.7323426
53,30.327966,-97.7342238
12,30.3285002,-97.7395967
52,30.3274562,-97.7390953
5,30.3258892,-97.7372113
42,30.3255441,-97.7357655
71,30.3241412,-97.7379581
131,30.322621,-97.7383106
5,30.322975,-97.7354531
250,30.321194,-97.73864
180,30.3200532,-97.7375608
180,30.3187026,-97.7382154
39,30.3202581,-97.7314608
43,30.3276513,-97.7324087
2,30.3270776,-97.7300632
1,30.324128,-97.7328515
6,30.3245819,-97.7337686
6,30.3250261,-97.734696
54,30.3250892,-97.7290581
8,30.3268176,-97.7276676
393,30.3246382,-97.7279387
92,30.3225614,-97.7296207
4,30.3236437,-97.7319007
24,30.3213605,-97.7449469
8,30.3238048,-97.744361
61,30.3236488,-97.7433275
30,30.3234356,-97.7422627
1,30.3218299,-97.7442544
44,30.3220416,-97.7415303
160,30.3213001,-97.739881
88,30.319444,-97.7401875
2,30.3200372,-97.7416213
1,30.3198454,-97.7473123
1,30.3179878,-97.7451895
10,30.3184353,-97.7425449
2,30.3189529,-97.7410557
10,30.3171155,-97.7433832
1,30.3175431,-97.7442752
37,30.3175708,-97.7407738
45,30.3162572,-97.7416158
3,30.3166865,-97.7424914
4,30.334203,-97.7426496
4,30.3346125,-97.7447201
7,30.3348479,-97.7457275
55,30.3333154,-97.7472929
3,30.3293258,-97.7466741
5,30.3317098,-97.7452325
1,30.3316997,-97.7437018
384,30.3315205,-97.7422503
13,30.3290366,-97.7420582
19,30.3290164,-97.7434911
1,30.3290189,-97.7449713
10,30.3267421,-97.7446269
596,30.3338586,-97.741068
275,30.3313483,-97.7407681
177,30.3290592,-97.7405704
224,30.3277686,-97.7418201
191,30.3243549,-97.740999
800,30.3002047,-97.7193832
3,30.3024615,-97.7175228
31,30.3039578,-97.7189938
143,30.2981748,-97.7204579
11,30.2977617,-97.7223154
26,30.2954906,-97.7200078
32,30.2965332,-97.7198137
1,30.2972096,-97.7212199
6,30.2963127,-97.7217359
1,30.295344,-97.7218838
6,30.3064358,-97.7243112
40,30.3050888,-97.7249721
8,30.3052739,-97.7230744
3,30.3040162,-97.720996
10,30.3027303,-97.7217811
1,30.3037565,-97.7227842
21,30.3030247,-97.7235929
42,30.3040581,-97.7258366
5,30.302076,-97.7250453
210,30.3012533,-97.7231516
3,30.3019894,-97.7259696
1,30.3024203,-97.7268705
2,30.3067703,-97.7289971
12,30.3063213,-97.7280494
41,30.305765,-97.7259865
6,30.3058672,-97.7271245
1,30.3051861,-97.7287651
1,30.3056285,-97.7297078
16,30.3036245,-97.7285491
26,30.3026201,-97.7279774
153,30.3043031,-97.7269167
3,30.3012879,-97.7300068
2,30.3025107,-97.7292593
1,30.3029593,-97.7301915
12,30.3034107,-97.7311308
2,30.3018763,-97.7308021
5,30.3006516,-97.7316307
3,30.2997243,-97.7283427
4,30.2996477,-97.7298089
8,30.3000054,-97.7307788
6,30.3100667,-97.7328536
84,30.3089737,-97.7335518
5,30.3085298,-97.7326358
2,30.3096242,-97.7319308
7,30.3092052,-97.7310038
12,30.3072266,-97.7299301
1,30.3074199,-97.7333781
106,30.307867,-97.734277
80,30.3067354,-97.7349917
5,30.3058344,-97.7331807
1,30.3053998,-97.7322623
2,30.3060802,-97.7306477
8,30.3049736,-97.7313552
70,30.3056035,-97.7357186
544,30.3042131,-97.7359995
2,30.304283,-97.7329779
15,30.3038487,-97.7320707
1,30.3031224,-97.7337136
7,30.3035516,-97.7346216
45,30.3033332,-97.7365594
118,30.302674,-97.7369879
1,30.3015745,-97.7349747
5,30.3015504,-97.73428
26,30.3133298,-97.7146352
6,30.3114984,-97.7106508
23,30.3108301,-97.7114543
8,30.311232,-97.7124233
3,30.3119398,-97.7139099
14,30.3124754,-97.7149511
11,30.3112104,-97.7145062
