feature,importance
dist_to_west_campus_shape_m,0.23364082
west_campus_shape_area_within_275m,0.16775651
dist_to_west_campus_center_m,0.07215074
dorm_pop_within_500m,0.038472403
demo_polygons_intersecting_1000m,0.033677805
nearest_park_dist_m,0.024130413
demo_income_min_500m,0.023891572
grad_est_275m,0.023454856
undergrad_est_500m,0.021734573
demo_income_min_275m,0.01982998
grad_share_students_275m,0.01857902
demo_income_range_500m,0.017366527
students_est_275m,0.017349763
amenities_nearby,0.016886557
undergrad_density_sqkm_275m,0.01597131
student_density_sqkm_275m,0.01556992
demo_income_range_275m,0.015379212
nearest_station_dist_m,0.0116017265
demo_income_max_275m,0.011232911
demo_age_min_1000m,0.010895828
low_income_access_score,0.009004475
nearest_dining_hall_dist_m,0.008367547
demo_age_min_275m,0.008125173
demo_age_max_500m,0.007761483
demo_age_max_275m,0.007410967
demo_income_max_500m,0.007260392
undergrad_density_sqkm_500m,0.007210704
undergrad_share_students_1000m,0.007042438
nearest_dorm_pop,0.0068620127
demo_income_per_student_500m,0.0065126945
is_ut,0.006448533
grad_density_sqkm_275m,0.005760074
grad_share_students_500m,0.00549427
demo_income_area_weighted_500m,0.0054410677
undergrad_density_sqkm_1000m,0.0054189907
lat,0.004976082
demo_age_range_500m,0.0048382473
housing_nearby_1000m,0.0045831823
student_to_jobs_ratio_275m,0.0039796717
transit_nearby,0.0038204703
nearest_transit_stop_dist_m,0.003745918
student_density_sqkm_1000m,0.0035480717
demo_polygons_intersecting_275m,0.0035456382
retail_nearby,0.0034840214
dist_to_north_campus_shape_m,0.0031770712
demo_income_area_weighted_1000m,0.0031599153
avg_dist_3_nearest_transit_stops_m,0.0031474445
bike_infra_score,0.00300111
avg_dist_3_nearest_amenities_m,0.002987243
demo_income_area_weighted_275m,0.0027756318
job_housing_ratio_275m,0.002528028
stations_within_500m,0.0024237256
nearest_dorm_dist_m,0.002138339
avg_stations_dist_3_nearest_m,0.002116968
lon,0.0017814318
avg_dist_3_nearest_retail_m,0.0017743662
jobs_nearby_275m,0.0016511328
avg_dist_3_nearest_tourism_m,0.00133049
demo_age_max_1000m,0.0011720415
demo_polygons_intersecting_500m,0.0011415778
grad_share_students_1000m,0.001072791
demo_age_range_275m,0.0010509797
demo_income_min_1000m,0.0010184181
park_area_nearby,0.00092842383
student_density_sqkm_500m,0.0009069907
stations_within_1000m,0.00077163515
demo_age_area_weighted_1000m,0.00072475825
grad_density_sqkm_1000m,0.0007156287
demo_age_range_1000m,0.0006939252
demo_age_min_500m,0.0006482509
demo_age_area_weighted_500m,0.00059656345
avg_dist_3_nearest_entertainment_m,0.0005186358
housing_nearby_275m,0.00051435985
demo_age_area_weighted_275m,0.00046280646
grad_density_sqkm_500m,0.00042533886
demo_income_max_1000m,0.0004152543
dist_to_ut_shape_m,0.00030816058
demo_income_range_1000m,0.00030025933
entertainment_nearby,0.00026136794
student_to_housing_ratio_275m,0.00025200454
tourism_nearby,0.00020494963
undergrad_est_1000m,0.00016629757
undergrad_share_students_500m,0.00015986232
total_docks,0.0001317491
north_campus_shape_share_of_1000m_buffer,6.906529e-05
north_campus_shape_area_within_1000m,6.0365284e-05
grad_to_undergrad_ratio_500m,5.7464516e-05
students_est_1000m,1.6388338e-05
ut_x_dining_dist,1.1062079e-05
grad_est_500m,6.7300243e-06
ut_x_transit,4.506966e-06
undergrad_share_students_275m,2.7321971e-06
grad_est_1000m,1.339872e-06
ebs_station,0.0
north_campus_shape_share_of_500m_buffer,0.0
north_campus_shape_area_within_500m,0.0
north_campus_shape_touches_275m_buffer,0.0
north_campus_shape_share_of_275m_buffer,0.0
north_campus_shape_area_within_275m,0.0
in_north_campus_shape,0.0
west_campus_shape_touches_1000m_buffer,0.0
west_campus_shape_share_of_1000m_buffer,0.0
west_campus_shape_area_within_500m,0.0
west_campus_shape_area_within_1000m,0.0
west_campus_shape_touches_500m_buffer,0.0
west_campus_shape_share_of_500m_buffer,0.0
west_campus_shape_share_of_275m_buffer,0.0
west_campus_shape_touches_275m_buffer,0.0
ut_shape_touches_1000m_buffer,0.0
in_west_campus_shape,0.0
ut_shape_area_within_275m,0.0
ut_shape_share_of_275m_buffer,0.0
ut_shape_share_of_1000m_buffer,0.0
ut_shape_area_within_1000m,0.0
ut_shape_share_of_500m_buffer,0.0
ut_shape_touches_500m_buffer,0.0
ut_shape_area_within_500m,0.0
ut_shape_touches_275m_buffer,0.0
in_ut_shape,0.0
ut_x_students_500m,0.0
ut_x_housing_275m,0.0
north_campus_shape_touches_500m_buffer,0.0
ut_x_grad_share_500m,0.0
ut_x_ut_shape_share_275m,0.0
students_est_500m,0.0
undergrad_est_275m,0.0
